test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.69,14.59,41.00
CPUStress,32,10,66.34,14.63,40.20
CPUStress,32,20,80.25,14.73,40.10
CPUStress,32,30,89.68,14.70,40.90
CPUStress,32,40,98.44,14.79,41.30
CPUStress,32,50,105.74,14.86,42.90
CPUStress,32,60,114.13,15.09,44.60
CPUStress,32,70,118.41,15.00,46.10
CPUStress,32,80,120.35,14.78,47.60
CPUStress,32,90,125.09,14.88,49.10
CPUStress,32,100,126.46,14.77,50.50
ipsec,32,100,136.49,14.52,51.80
VMStress,32,100,116.13,36.95,49.20
maximize,32,100,123.63,21.88,51.60
