test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.16,14.70,32.90
CPUStress,32,10,68.26,14.73,33.90
CPUStress,32,20,79.63,14.69,36.60
CPUStress,32,30,89.19,14.71,38.70
CPUStress,32,40,97.57,14.73,40.60
CPUStress,32,50,105.59,14.89,42.60
CPUStress,32,60,112.46,14.93,44.10
CPUStress,32,70,118.18,15.03,46.90
CPUStress,32,80,122.14,14.90,48.60
CPUStress,32,90,124.22,14.73,49.30
CPUStress,32,100,126.41,14.78,50.70
ipsec,32,100,137.23,14.59,51.50
VMStress,32,100,115.29,37.38,48.40
maximize,32,100,125.30,22.44,50.90
