test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.70,14.37,30.40
CPUStress,32,10,66.06,14.63,31.40
CPUStress,32,20,79.13,14.68,34.10
CPUStress,32,30,89.71,14.73,37.50
CPUStress,32,40,99.86,14.99,39.30
CPUStress,32,50,105.40,14.87,40.90
CPUStress,32,60,111.38,14.88,42.40
CPUStress,32,70,115.75,14.74,45.00
CPUStress,32,80,119.89,14.69,46.50
CPUStress,32,90,125.48,14.92,48.10
CPUStress,32,100,125.89,14.72,49.10
ipsec,32,100,136.09,14.53,50.60
VMStress,32,100,115.70,36.76,48.20
maximize,32,100,124.55,21.92,50.60
