test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.38,14.60,40.40
CPUStress,32,10,59.76,14.73,38.90
CPUStress,32,20,69.37,14.74,38.30
CPUStress,32,30,75.88,14.65,38.60
CPUStress,32,40,85.27,15.10,40.10
CPUStress,32,50,88.15,14.66,40.50
CPUStress,32,60,95.12,15.03,42.20
CPUStress,32,70,97.14,14.69,43.60
CPUStress,32,80,100.95,14.72,44.90
CPUStress,32,90,107.22,15.24,47.00
CPUStress,32,100,102.56,14.35,47.40
ipsec,32,100,114.59,14.57,48.90
VMStress,32,100,98.74,37.55,46.00
maximize,32,100,107.30,21.82,48.80
