test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.27,14.58,43.00
CPUStress,32,10,69.02,14.72,42.50
CPUStress,32,20,80.04,14.71,42.00
CPUStress,32,30,89.11,14.63,42.20
CPUStress,32,40,97.95,14.86,43.20
CPUStress,32,50,105.14,14.87,44.30
CPUStress,32,60,111.98,14.87,46.30
CPUStress,32,70,117.99,14.96,47.60
CPUStress,32,80,120.55,14.79,48.50
CPUStress,32,90,125.80,14.96,49.80
CPUStress,32,100,125.46,14.63,51.50
ipsec,32,100,131.26,13.94,52.40
VMStress,32,100,115.74,37.12,49.30
maximize,32,100,121.13,21.45,51.80
