test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.81,14.71,42.90
CPUStress,32,10,68.51,14.62,41.20
CPUStress,32,20,80.09,14.67,41.10
CPUStress,32,30,90.20,14.78,41.80
CPUStress,32,40,99.83,14.97,43.30
CPUStress,32,50,105.66,14.90,44.90
CPUStress,32,60,111.83,14.80,46.20
CPUStress,32,70,117.14,14.93,47.60
CPUStress,32,80,122.47,15.01,49.20
CPUStress,32,90,124.26,14.84,50.40
CPUStress,32,100,126.67,14.80,50.80
ipsec,32,100,129.85,13.78,52.10
VMStress,32,100,112.95,36.88,49.70
maximize,32,100,121.55,21.47,51.60
