test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.10,14.57,40.40
CPUStress,32,10,59.14,14.63,38.90
CPUStress,32,20,67.95,14.67,39.00
CPUStress,32,30,76.45,14.70,38.60
CPUStress,32,40,84.74,14.99,39.80
CPUStress,32,50,89.17,14.92,40.40
CPUStress,32,60,94.69,15.05,40.80
CPUStress,32,70,96.77,14.73,42.60
CPUStress,32,80,103.03,15.06,43.90
CPUStress,32,90,103.37,14.73,45.10
CPUStress,32,100,102.88,14.38,46.50
ipsec,32,100,114.40,14.58,47.80
VMStress,32,100,96.77,36.36,44.90
maximize,32,100,104.77,21.68,47.70
