test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.60,14.29,41.20
CPUStress,32,10,68.48,14.53,40.40
CPUStress,32,20,78.80,14.42,40.60
CPUStress,32,30,89.79,14.83,40.10
CPUStress,32,40,97.29,14.62,41.60
CPUStress,32,50,105.55,14.93,42.80
CPUStress,32,60,110.06,14.64,44.70
CPUStress,32,70,115.76,14.70,46.60
CPUStress,32,80,120.36,14.74,47.50
CPUStress,32,90,123.81,14.72,49.50
CPUStress,32,100,126.78,14.73,50.30
ipsec,32,100,136.65,14.47,51.80
VMStress,32,100,115.43,37.61,48.90
maximize,32,100,126.00,22.45,50.90
