test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.96,14.19,41.10
CPUStress,32,10,59.61,14.44,39.70
CPUStress,32,20,68.08,14.39,39.30
CPUStress,32,30,76.60,14.61,39.10
CPUStress,32,40,83.68,14.74,40.10
CPUStress,32,50,88.97,14.94,41.20
CPUStress,32,60,93.06,14.82,41.50
CPUStress,32,70,97.83,14.79,42.60
CPUStress,32,80,100.44,14.65,43.90
CPUStress,32,90,103.91,14.76,46.10
CPUStress,32,100,105.73,14.77,46.80
ipsec,32,100,111.99,14.30,48.00
VMStress,32,100,98.30,37.48,45.10
maximize,32,100,104.76,20.81,47.60
