test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.25,14.41,41.00
CPUStress,32,10,69.38,14.68,40.70
CPUStress,32,20,79.68,14.70,40.80
CPUStress,32,30,88.95,14.61,41.00
CPUStress,32,40,97.21,14.48,41.70
CPUStress,32,50,104.08,14.58,43.20
CPUStress,32,60,113.30,14.97,45.40
CPUStress,32,70,117.34,14.92,46.90
CPUStress,32,80,120.92,14.83,48.50
CPUStress,32,90,123.92,14.78,49.70
CPUStress,32,100,126.33,14.76,50.50
ipsec,32,100,136.64,14.34,51.90
VMStress,32,100,116.07,37.52,48.80
maximize,32,100,125.40,21.58,51.20
