test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.35,14.48,33.20
CPUStress,32,10,68.91,14.54,34.40
CPUStress,32,20,79.56,14.80,35.50
CPUStress,32,30,88.54,14.64,37.70
CPUStress,32,40,97.22,14.64,40.30
CPUStress,32,50,105.72,14.96,41.70
CPUStress,32,60,111.06,14.83,43.50
CPUStress,32,70,116.37,14.82,46.30
CPUStress,32,80,121.54,14.87,47.10
CPUStress,32,90,123.98,14.69,48.70
CPUStress,32,100,126.51,14.69,49.60
ipsec,32,100,136.61,14.56,51.00
VMStress,32,100,115.41,36.62,48.30
maximize,32,100,125.60,21.56,51.20
