test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.60,14.44,40.90
CPUStress,32,10,66.78,14.54,40.60
CPUStress,32,20,78.58,14.58,40.80
CPUStress,32,30,89.16,14.65,41.80
CPUStress,32,40,97.46,14.69,42.20
CPUStress,32,50,105.95,14.92,43.60
CPUStress,32,60,113.19,15.04,44.60
CPUStress,32,70,117.53,15.00,46.50
CPUStress,32,80,120.67,14.87,48.70
CPUStress,32,90,123.79,14.84,48.90
CPUStress,32,100,122.64,14.46,50.00
ipsec,32,100,136.65,14.47,51.00
VMStress,32,100,116.19,37.04,48.20
maximize,32,100,126.44,22.50,50.90
