test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.85,14.42,41.60
CPUStress,32,10,67.33,14.51,41.10
CPUStress,32,20,79.11,14.58,40.20
CPUStress,32,30,89.46,14.68,41.10
CPUStress,32,40,97.47,14.77,41.80
CPUStress,32,50,107.27,15.05,44.30
CPUStress,32,60,111.57,14.79,45.80
CPUStress,32,70,118.15,15.01,47.50
CPUStress,32,80,122.42,15.07,48.90
CPUStress,32,90,124.38,14.86,49.10
CPUStress,32,100,126.30,14.76,50.20
ipsec,32,100,136.85,14.56,51.70
VMStress,32,100,113.89,37.25,49.00
maximize,32,100,124.78,22.87,51.30
