test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.95,14.65,41.50
CPUStress,32,10,68.76,14.70,40.30
CPUStress,32,20,79.11,14.61,40.80
CPUStress,32,30,89.00,14.76,41.10
CPUStress,32,40,99.70,15.06,41.70
CPUStress,32,50,104.26,14.73,43.10
CPUStress,32,60,113.16,15.07,45.70
CPUStress,32,70,116.03,14.82,46.80
CPUStress,32,80,120.82,14.85,48.40
CPUStress,32,90,127.03,15.10,49.20
CPUStress,32,100,126.43,14.76,50.20
ipsec,32,100,135.83,14.47,51.30
VMStress,32,100,115.11,37.91,48.50
maximize,32,100,126.00,22.26,51.20
