task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model
5,-,92071,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070133,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070133),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585253427,1738585253496,1738585255252,1825,11,-,175.3,0.0,0,0,0,0,141671,877,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/29/149c63ac3408007b7d59cba209f326,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
13,-,92064,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10102394,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10102394),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585253413,1738585253494,1738585255249,1836,11,-,124.7,0.0,0,0,0,0,141670,877,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/5f/82dcfd5eae1ac85eb5155b0d90ed61,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
4,-,92058,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070132,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070132),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585253399,1738585253492,1738585255278,1879,10,-,139.1,0.0,0,0,0,0,141670,877,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/26/ba84c6256e05c1f3f3537032267c01,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
7,-,92051,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070141,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070141),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585253381,1738585253393,1738585255235,1854,11,-,106.7,0.0,0,0,0,0,141686,889,227,17,212992,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/c3/ac89accccb12edd2d37ac6a6e90597,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
1,-,92078,NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY,-,NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY,COMPLETED,0,-,docker.io/biocontainers/biocontainers:v1.2.0_cv1,2,21600000,-,12884901888,1,1738585253440,1738585253498,1738585255813,2373,607,-,55.0,0.0,4591616,13164544,4591616,13164544,5940798,32562672,320,1019,8192,32583680,26,1,/users/grad/kathleen/ichnos-gpgnode-14/work/a5/95663a865c963372358be1069a48cc,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
9,-,92566,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070150,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070150),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585255275,1738585255285,1738585257250,1975,11,-,126.3,0.0,0,0,0,0,141670,877,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/94/625b5652703143a472f34a7cd6b077,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
6,-,92555,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070134,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070134),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585255263,1738585255282,1738585257280,2017,11,-,124.7,0.0,0,0,0,0,141669,877,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/57/2e475140243168a36645ca42802eb3,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
2,-,92517,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070130,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070130),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585255251,1738585255279,1738585257312,2061,11,-,124.7,0.0,0,0,0,0,141671,877,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/dc/0eacf1f90c3c32c2648b4158cb84c0,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
8,-,92576,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070149,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070149),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585255294,1738585255379,1738585257351,2057,12,-,128.0,0.0,0,0,0,0,141671,877,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/e3/049bc1adf7097dca2a7ab757c4fd5e,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
11,-,92610,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10102392,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10102392),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738585255827,1738585255914,1738585257602,1775,10,-,135.2,0.0,0,0,0,0,141671,877,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-14/work/1d/70a4cecdda9b59fbf07ffc0e187b24,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
