name;hash;path;type;size
NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);af0e627565592a8742baf11d341f47a5;/input/data/work/af/0e627565592a8742baf11d341f47a5/samplesheet.valid.csv;f;4544
NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);af0e627565592a8742baf11d341f47a5;/input/data/work/af/0e627565592a8742baf11d341f47a5/versions.yml;f;72
NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);415a579fec0800a3ba1a56c56dfeedf9;/input/data/work/41/5a579fec0800a3ba1a56c56dfeedf9/genome.fa.sizes;f;302
NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);415a579fec0800a3ba1a56c56dfeedf9;/input/data/work/41/5a579fec0800a3ba1a56c56dfeedf9/genome.fa.fai;f;714
NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);415a579fec0800a3ba1a56c56dfeedf9;/input/data/work/41/5a579fec0800a3ba1a56c56dfeedf9/versions.yml;f;87
NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa);2247d97385f2ffda701e0e7a4271e450;/input/data/work/22/47d97385f2ffda701e0e7a4271e450/genome_genes.gtf;f;838278262
NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa);2247d97385f2ffda701e0e7a4271e450;/input/data/work/22/47d97385f2ffda701e0e7a4271e450/versions.yml;f;73
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3);003588bdd743c004a0c8103c42443404;/input/data/work/00/3588bdd743c004a0c8103c42443404/TREATMENT_mIFNa11_100000_REP3_1_fastqc.html;f;594926
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3);003588bdd743c004a0c8103c42443404;/input/data/work/00/3588bdd743c004a0c8103c42443404/TREATMENT_mIFNa11_100000_REP3_2_fastqc.html;f;598350
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3);003588bdd743c004a0c8103c42443404;/input/data/work/00/3588bdd743c004a0c8103c42443404/TREATMENT_mIFNa11_100000_REP3_1_fastqc.zip;f;346827
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3);003588bdd743c004a0c8103c42443404;/input/data/work/00/3588bdd743c004a0c8103c42443404/TREATMENT_mIFNa11_100000_REP3_2_fastqc.zip;f;353227
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3);003588bdd743c004a0c8103c42443404;/input/data/work/00/3588bdd743c004a0c8103c42443404/versions.yml;f;83
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2);79b823ebba74970632c4656c69811e7d;/input/data/work/79/b823ebba74970632c4656c69811e7d/TREATMENT_rhIFNb_100000_REP2_1_fastqc.html;f;599479
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2);79b823ebba74970632c4656c69811e7d;/input/data/work/79/b823ebba74970632c4656c69811e7d/TREATMENT_rhIFNb_100000_REP2_2_fastqc.html;f;598803
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2);79b823ebba74970632c4656c69811e7d;/input/data/work/79/b823ebba74970632c4656c69811e7d/TREATMENT_rhIFNb_100000_REP2_1_fastqc.zip;f;353736
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2);79b823ebba74970632c4656c69811e7d;/input/data/work/79/b823ebba74970632c4656c69811e7d/TREATMENT_rhIFNb_100000_REP2_2_fastqc.zip;f;352667
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2);79b823ebba74970632c4656c69811e7d;/input/data/work/79/b823ebba74970632c4656c69811e7d/versions.yml;f;83
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3);8a9999014fba3c0f7797ac3efd76fa01;/input/data/work/8a/9999014fba3c0f7797ac3efd76fa01/TREATMENT_mIFNa11_10000_REP3_1_fastqc.html;f;600380
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3);8a9999014fba3c0f7797ac3efd76fa01;/input/data/work/8a/9999014fba3c0f7797ac3efd76fa01/TREATMENT_mIFNa11_10000_REP3_2_fastqc.html;f;595556
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3);8a9999014fba3c0f7797ac3efd76fa01;/input/data/work/8a/9999014fba3c0f7797ac3efd76fa01/TREATMENT_mIFNa11_10000_REP3_1_fastqc.zip;f;357970
