task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa);2247d97385f2ffda701e0e7a4271e450;2;4063383142;2;838278335;1
NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);af0e627565592a8742baf11d341f47a5;1;4338;2;4616;0
NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);415a579fec0800a3ba1a56c56dfeedf9;1;3147288982;3;1103;195
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP1);bbc80eb4e2762430e6ab20a7c15dc562;2;2486687632;9;2312208569;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1);2d36e05032402f97256d87c0a534edb1;2;2486687632;5;1905167;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP2);72e61f021a30c54a891c9ad8f1acd6e7;2;2486687632;9;2312208569;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2);60a14d3d199342e06dc3686e7bed5573;2;2486687632;5;1905168;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (CONTROL_REP3);7f4ee4bd2f759f10e4e70216b5e2f305;2;2486687632;9;2312208569;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3);033e4db6d3fbc321794ca451ad36c4c3;2;2486687632;5;1905168;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1);77e9df95a5dc1d97dad151da70fe5165;2;2567359158;5;1907225;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100000_REP1);aba8979b593d1e03ebfa1690e6aac9b8;2;2567359158;9;2387297872;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2);9f32e43c67617a9e8dc6f35b2641ef77;2;1718442970;5;1892125;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100000_REP2);3684b4d2569836c442b59f08fdc05a77;2;1718442970;9;1599947981;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3);003588bdd743c004a0c8103c42443404;2;2161934675;5;1893413;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100000_REP3);c0251ecd0726315da57cf8f17fed5b73;2;2161934675;9;2012992409;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_10000_REP1);ae9e9d9a67ffb39532b8b1f43b9c8d0a;2;2957126577;9;2751539897;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP1);1b03ed979510f4190613b495a70ccbcc;2;2957126577;5;1899808;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2);9cd3b6616e77d46640baf3f3797df713;2;2655690169;5;1900776;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3);8a9999014fba3c0f7797ac3efd76fa01;2;2497231368;5;1906041;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_10000_REP2);7050ed08164465745cbd265c53c14fa3;2;2655690169;9;2468627417;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP1);1b4795efff2dcc8e7c787def97a22adc;2;3072941686;5;1888121;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_10000_REP3);fbcc0d3750962fbc9e41b1ec030328b1;2;2497231368;9;2323740984;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP2);8883c8ca0eb0b7c624371469f131a1fa;2;3390020095;5;1919078;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP3);8cb4fe2a02a73bf812b111f1688154da;2;3146856483;5;1903351;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1);02646d3b3e19f1c135a2c0a8dc041983;2;2605453793;5;1902313;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP2);1ea1ab440c8c39981e79ed453575ccaf;2;2771011001;5;1911674;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3);19196356e9f0f0b0d78d20123464004f;2;2235235129;5;1894814;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1);88922eb3b100bdd261aada61fc213712;2;2689917923;5;1908918;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2);1f23f8a2f4ca2704e8336cccd76d7881;2;2538241911;5;1902575;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP3);d30195546f18422a25d8675687e35708;2;2917121547;5;1902895;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1);86dbb477761810467536184b4aee4c52;2;2486687632;5;1906521;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2);cb1d1f8b33c68908a1461dc8b76ba38e;2;2522583655;5;1898375;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3);0850a07e5b0e17500c0523b796ccab2e;2;2486253111;5;1907712;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP1);75cc50a88a94e910f978f4c888baecee;2;2739945233;5;1898063;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_1000_REP1);6950236e77c98e7d4c0b6f2a385b0b8e;2;3072941686;9;2861357912;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_1000_REP2);7dd40ca0018bb8dec1977e5a53a3c581;2;3390020095;9;3154092383;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_1000_REP3);b5be26975e94ef85ae0d8b21b136a4e7;2;3146856483;9;2928096342;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2);79b823ebba74970632c4656c69811e7d;2;2379721379;5;1904768;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3);399e465dd2096d5bf96f38e3b640b8a7;2;1396083675;5;1890828;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100_REP1);bb480e50e7af6017c81cdecfd5abf0b4;2;2605453793;9;2425744440;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100_REP2);8ca158cb1cc3aa29faea00000dc7ba47;2;2771011001;9;2572668911;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP1);bb6a25ce595d0164fc1da029f4656474;2;2630683401;5;1901945;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_mIFNa11_100_REP3);a3f803fd57d2fafce92edf3906bf93d3;2;2235235129;9;2080517305;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNa2b_1000_REP1);d6618f54572f08160e97d07760f359e0;2;2689917923;9;2499970356;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNa2b_1000_REP2);3fb9853f5e08b6a74721891933f2033a;2;2538241911;9;2362737344;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNa2b_1000_REP3);b2387e75c1d08f7d9cfe7d1057e3f6e4;2;2917121547;9;2716403794;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNa2b_100_REP1);3ec7b2d26d933a0f22752f3d1d5bd506;2;2486687632;9;2312210013;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP2);5833c952f22582a6dcb1ea5616891ac0;2;3228496209;5;1913790;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP3);ee2d900f1c935f7c56ca1ad6e391190a;2;3529944369;5;1898542;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_1000_REP1);53b61dbdf7b9f6b6a9b2b40a8b5a4373;2;2718190708;5;1914879;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNa2b_100_REP2);57d5319de9d66fa34dca4244eb68189f;2;2522583655;9;2347264506;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_1000_REP2);4acd75c40ea48167d43d8b3b0fb640b9;2;3111978634;5;1919737;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_1000_REP3);18becb4ca95b449194265bc00f040a5c;2;2978680598;5;1913264;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNa2b_100_REP3);1c35faf0ad3a18b72f7c6bf386176952;2;2486253111;9;2308992555;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_100000_REP1);e9f5f184ebc953c1ff44e4de24c945ed;2;2739945233;9;2551616943;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP1);319385f98b9def6f5d147395feafee31;2;3142145039;5;1895308;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2);5e4d2501e65bd39c80e831b2e60151c5;2;2610621320;5;1903429;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP3);71ab7158d8604d9def05ca29e2bf9c7f;2;3107838014;5;1917836;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_100000_REP2);e9f69db772cbf11df1468fac14cc40cd;2;2379721379;9;2215311608;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_100000_REP3);de15ea69b66de9c85537c64b9328a7c0;2;1396083675;9;1300959057;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP1);664e989dbdc36aa939e96998aec5f59b;2;3593382597;5;1909757;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_10000_REP1);83bf79ea7a450eb64cdf2c7d9d6b915b;2;2630683401;9;2450416408;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_10000_REP2);421a21e6c5978fc73ad3bf92916c910c;2;3228496209;9;3005048459;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_10000_REP3);af1871c58a9289576a8f6dc6c29de1f7;2;3529944369;9;3287993605;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_1000_REP1);c6868e441a07ad7cf7b4a475bdaa8fdf;2;2718190708;9;2528504411;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_1000_REP2);4865f1565d7ee14b4479869afd9073a6;2;3111978634;9;2895363666;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_1000_REP3);4caa659e2609f66276871d05652d35ce;2;2978680598;9;2768625349;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_100_REP1);ab578b4746eb2810e4bd3cc1658b4548;2;3142145039;9;2925973484;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_100_REP2);6ac77e0263fd0d8e23f713ddaceba4c2;2;2610621320;9;2425751157;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhIFNb_100_REP3);b535143c8f72ae7dd19dec7406b22d3e;2;3107838014;9;2880144166;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP2);672835f900b2f0c0ae429ca4929d1d50;2;2630112206;5;1904737;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP3);78488bf4a180804a84af0b27d46f8373;2;3048783459;5;1904160;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP1);42cdcbc1de6a10f99ba009aa57345cb7;2;2847929906;5;1912319;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP2);17f2ea41af1003089ca0908e098826a4;2;3783486234;5;1908943;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3);d96b7a2dc61f5214ecff478ae7148959;2;1810218282;5;1891333;1
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhINFa2b_100000_REP1);13d19c57d950c4bea19ba92f606e4061;2;3593382597;9;3345323142;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhINFa2b_100000_REP2);6fd929535d174966829c8c07b1bad106;2;2630112206;9;2449232329;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhINFa2b_100000_REP3);432b8e78da0d4b38f8625ff49b25e178;2;3048783459;9;2839316291;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhINFa2b_10000_REP1);f13a30541d31547cdd0a291906a03e9b;2;2847929906;9;2650047558;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhINFa2b_10000_REP2);693f70924ce06b8eee8107f4fc3c6537;2;3783486234;9;3521787910;3
NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (TREATMENT_rhINFa2b_10000_REP3);b4533dad87205bd7b6d4b15915cad4e7;2;1810218282;9;1688690955;3
NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa);60f7e1ce6a6f607954048b0e74b2be4e;2;3985567244;3;4709424006;36
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_100_REP3);9b74f31099896987a11f00f5b38ad41c;4;36093547580;7;6498865563;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_100000_REP2);a03e591c1bfbff686bf397495921ea6c;4;35612963916;7;5015715627;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_100000_REP3);637fe052db98fa4578c28ebea1e093a7;4;36026018324;7;6257444445;3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_10000_REP3);a1fbc1e4f1e37dd5db26a0c34ad0b11a;4;36336757094;7;7258407307;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_rhIFNa2b_1000_REP3);766bd0df27868bebc2a1dc694dca2ffe;4;36729411514;7;8447428014;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_10000_REP2);c71fe046eba8058ff78305cb06a8802b;4;36481643777;7;7652686840;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_100_REP2);beec2cf313f2ded7841baaf9f6c57340;4;36585677786;7;8075957672;3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_1000_REP3);f5f0aa410ab06795a9dc49bd75032177;4;36941112947;7;9158545709;3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_100000_REP1);165783a5e3089d397d540685955bde84;4;36400299118;7;7455767494;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (TREATMENT_mIFNa11_100000_REP2);afbd8d7b0450034a0da0b90af0f507e4;1;2299401137;2;1202356662;5
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (TREATMENT_mIFNa11_100000_REP2);a1e143daef079e31979465c95eac38cd;1;1202356569;2;2173278;3
NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (TREATMENT_mIFNa11_100000_REP2);54fcccb1568f19661c49471b4c7f845f;3;4349646265;3;1276545723;11
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (TREATMENT_mIFNa11_100_REP3);04519de9ff1c46e4f1e8d6a871bba079;1;2985886322;2;1549505651;4
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (TREATMENT_mIFNa11_100_REP3);1339b939f6f60f41574e5237846def22;1;1549505558;2;2299822;3
NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (TREATMENT_mIFNa11_100_REP3);b70327ba7a56e3503e282db68128c390;3;4696795254;3;1645331298;16
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (TREATMENT_mIFNa11_100000_REP3);8a6d1c8d381e42651db7e6adc86a983b;1;2880167077;2;1491195596;4
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (TREATMENT_mIFNa11_10000_REP3);28f1580b835ae2f2b096fc5ec71a8587;1;3344505169;2;1726335991;4
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (TREATMENT_mIFNa11_100000_REP3);ac4e26fb8d58f02a3916a9a66d414640;1;1491195503;2;2312518;3
NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (TREATMENT_mIFNa11_100000_REP3);8bc93ce4de6c93abb6540a27f0ad463c;3;4638485199;3;1584439373;16
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (TREATMENT_mIFNa11_10000_REP3);c10a92ff4eabb1e7992b8f7daedc73c4;1;1726335898;2;2400414;3
NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (TREATMENT_mIFNa11_10000_REP3);f5a4084d246358abcb0fbbdc12d50f10;3;4873625594;3;1835338737;16
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_rhIFNa2b_100_REP1);6d6b863c381a84fdcce91d7c6e4b28e2;4;36325214992;7;7183081177;3
NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (TREATMENT_mIFNa11_100000_REP2);bc1e0b0461c120392b00fc93bd906584;2;2192635982;5;398698509;0
NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (TREATMENT_mIFNa11_100000_REP2);916db2bef4b54e6f7dd95727ce2f09f3;2;2192635982;2;502723;1
NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (TREATMENT_mIFNa11_100000_REP2);e6d086ccd2974dd30c97eb9e379dcff9;1;1276541822;2;2188837;3
NFCORE_RNASEQ:RNASEQ:DUPRADAR (TREATMENT_mIFNa11_100000_REP2);947fba5f6ae875aad682f5e7862f272d;2;2192635982;8;5884636;1
NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (TREATMENT_mIFNa11_100000_REP2);be5c5985769d86840f0670308cb8aaec;1;1276541822;3;366472988;2
NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (TREATMENT_mIFNa11_100000_REP2);7ac275b231658bf98dde68de37990944;2;2192635982;3;31283039;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_1000_REP2);a2b43db5287ac18134920c44c3422266;4;37167094438;7;9869932695;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_mIFNa11_10000_REP1);e5e8054d94c59ee9ab68f097a6f5ac5e;4;36764553056;7;8569255254;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_rhIFNb_1000_REP2);614c2ef994325a3489c5d9bda8c0bf6c;4;36908365532;7;8919152279;3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (TREATMENT_rhIFNa2b_100_REP3);73e30eabac065ed32940eb7f307274e2;4;36322001335;7;7141497298;3
NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (TREATMENT_mIFNa11_100_REP3);f4e36afec3c9a28ea634380bb67d7f56;1;1645327364;3;453345777;2
NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (TREATMENT_mIFNa11_100_REP3);41f2f82abf499bcd8c124756afbd39d9;2;2561421524;5;402354489;0
