task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv);c04d1f12ece0bfba3594818bea7968ec;1;8471;2;8975;0
NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);15fe074ca649b6f393a2bc8f4993d0c9;1;916094160;2;25691847;105
NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);3aee84315abad6b98e50db64078c3fad;1;3147288982;3;1098;105
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP1_T1);15ae603ec08b38fe4f6d9dabb6b4f9ad;1;815628764;5;710067560;1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1);b365a1424eb5f77b12c12a42b4625523;1;815628764;3;880302;1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP2_T1);3fd640e5966a542640ea630c7107d1bd;1;750233622;5;653369608;1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1);f97f7c3fb00e25899a7eed89e1a1f49f;1;750233622;3;878398;1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP3_T1);9a0599be2a4b57f7b4eb5e1bacf30dbc;1;1220830084;5;1062880753;2
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP3_T1);d38c6b056cce496717a2c636de6ca3e8;1;1220830084;3;877571;1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Daro_REP1_T1);52809b83f02b42b38c5ea2da774fa910;1;786949632;5;685068810;1
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1);596add918a2dc310c56b4ef3a318ae05;1;786949632;3;878328;1
