test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.68,14.97,38.70
CPUStress,32,10,61.77,14.92,38.20
CPUStress,32,20,70.84,14.89,38.60
CPUStress,32,30,78.85,15.10,39.10
CPUStress,32,40,87.53,15.25,39.90
CPUStress,32,50,91.76,15.18,40.80
CPUStress,32,60,97.26,15.18,41.50
CPUStress,32,70,101.10,15.33,42.30
CPUStress,32,80,104.70,15.23,43.60
CPUStress,32,90,107.66,15.25,44.10
CPUStress,32,100,108.77,15.12,44.90
ipsec,32,100,117.63,14.89,45.80
VMStress,32,100,100.59,38.38,43.10
maximize,32,100,107.82,22.39,45.40
