test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.34,14.82,38.10
CPUStress,32,10,55.74,15.01,37.00
CPUStress,32,20,63.07,14.97,37.80
CPUStress,32,30,69.25,14.85,37.50
CPUStress,32,40,76.94,15.40,37.90
CPUStress,32,50,81.51,15.30,38.80
CPUStress,32,60,86.53,15.41,39.70
CPUStress,32,70,88.71,15.19,40.40
CPUStress,32,80,93.11,15.53,40.80
CPUStress,32,90,92.41,14.97,41.40
CPUStress,32,100,94.16,14.93,41.60
ipsec,32,100,101.44,14.65,42.30
VMStress,32,100,89.27,37.82,41.10
maximize,32,100,93.32,20.98,42.30
