test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.33,14.89,33.80
CPUStress,32,10,55.09,14.85,33.80
CPUStress,32,20,63.44,15.07,35.70
CPUStress,32,30,69.62,14.95,36.40
CPUStress,32,40,76.19,15.19,37.10
CPUStress,32,50,81.17,15.21,38.10
CPUStress,32,60,86.41,15.34,38.70
CPUStress,32,70,89.58,15.38,39.90
CPUStress,32,80,91.06,15.14,40.10
CPUStress,32,90,92.86,14.99,41.00
CPUStress,32,100,94.15,14.92,41.70
ipsec,32,100,101.36,14.86,42.30
VMStress,32,100,89.27,37.59,40.90
maximize,32,100,94.42,21.33,42.10
