test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.63,14.62,39.20
CPUStress,32,10,60.14,14.65,39.10
CPUStress,32,20,71.58,14.85,39.50
CPUStress,32,30,80.15,15.07,39.20
CPUStress,32,40,86.85,15.12,40.20
CPUStress,32,50,92.83,15.21,40.70
CPUStress,32,60,97.89,15.16,41.60
CPUStress,32,70,102.15,15.30,42.20
CPUStress,32,80,104.22,15.07,43.10
CPUStress,32,90,107.62,15.04,43.90
CPUStress,32,100,109.22,14.98,44.80
ipsec,32,100,117.71,14.79,45.90
VMStress,32,100,101.09,37.43,44.00
maximize,32,100,107.78,21.92,45.50
