test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.55,14.78,32.90
CPUStress,32,10,61.96,14.90,34.10
CPUStress,32,20,70.14,14.68,35.70
CPUStress,32,30,79.14,14.96,36.30
CPUStress,32,40,88.00,15.26,37.90
CPUStress,32,50,92.96,15.20,38.70
CPUStress,32,60,99.17,15.28,40.10
CPUStress,32,70,101.69,15.11,41.20
CPUStress,32,80,104.85,15.11,42.60
CPUStress,32,90,106.66,14.89,43.70
CPUStress,32,100,109.15,14.90,44.40
ipsec,32,100,117.57,14.61,45.30
VMStress,32,100,100.80,37.89,43.50
maximize,32,100,107.78,22.19,45.50
