task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv);ad785bdd4d8bf6c93e60a67b955c0b95;1;853;2;1012;0
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);6b5f334670e4a802b65043b9f4b7d16f;1;3157608038;3;1248;27
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);b9a4d45eb69db59ecf9f3c5943e742e7;1;142063633;2;8097915;6
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP1_T1);38786340ae24ac96b6ff5c5c5bbf317c;2;455494428;9;432412388;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP1_T1);026d6571d4e17d1a8915f48949b82919;2;455494428;5;1854428;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1);fd47f0c634fe00b861c81d1fc37cf77c;2;801187459;9;763883488;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP2_T1);d2a0b0080f488600ec761313498e4872;2;801187459;5;1876018;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP1_T1);43ff4de2372b4eeae452c987b65d8752;2;3259653689;5;1916033;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_OMNI_REP1_T1);f3ee19a533076b472ff5993073ec56aa;2;3259653689;9;3085456115;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_OMNI_REP2_T1);d81afde9cbd54e10cf59664363989c91;2;2696661891;9;2547019797;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP2_T1);758f6735456c9114648f72d81cf94170;2;2696661891;5;1916021;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_STD_REP1_T1);35fd5a9dc83568dec598978bd2fb6179;2;2402740257;5;1916991;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_STD_REP1_T1);68052ed486ef1114f6c06d5a07630ebb;2;2402740257;9;2240186401;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_STD_REP2_T1);96d869dbc0db620a14a89a688635dc7e;2;2286351475;9;2148023871;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_STD_REP2_T1);6f6bfaabd4b0677ab8224dc00be08d2c;2;2286351475;5;1900224;1
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT;a8a6243c2e14852f5c19ffcbb70df960;1;8097849;2;2132999;12
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai);c170cf0362668e09cfa45c39f843a87b;1;783;2;196;6
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);04a50c3a3c060463f1ae25c0e42a4101;2;19162;2;9953;6
NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM (GM12878_FAST_REP1_T1);774510044fe541e50e63e93c8fac9763;3;9005587410;2;682842929;0
NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM (GM12878_FAST_REP2_T1);d0702e927791a1973f13c136a0dd75c4;3;9337051865;2;1213189129;1
