test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,112.45,0.89,57.20
CPUStress,64,10,216.74,1.11,60.50
CPUStress,64,20,244.10,1.07,63.50
CPUStress,64,30,267.56,1.13,63.60
CPUStress,64,40,275.97,1.10,66.30
CPUStress,64,50,295.81,1.15,65.80
CPUStress,64,60,309.00,1.18,67.50
CPUStress,64,70,309.90,1.12,69.00
CPUStress,64,80,306.61,1.05,70.90
CPUStress,64,90,322.34,1.04,72.10
CPUStress,64,100,318.19,0.99,73.80
ipsec,64,100,290.18,0.97,73.00
VMStress,64,100,321.53,3.41,72.60
maximize,64,100,347.67,4.92,75.10
