task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv);8433ba6fd6fc4e4a079aeff8b5598168;1;634;2;748;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1);105b24f4201ba73a8bf5c5017d20115f;1;2334523613;3;1009534;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R1);e1dedf9c5ea2efedcbb28796f1cfbb6f;1;2334523613;18;3001281;0
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:GET_CHROM_SIZES (genome.fa);b28de00b80db493ec32f1acef38b554b;1;3147288982;2;379;37
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);44c74bff29ae2bbb0f2657c8cf9052eb;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R2);5310b32b91d4d23b827d8e349d1de5ab;1;2367200158;18;3106382;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R2);4ef9216fa9cf4284c3f4b742616206f6;1;2367200158;3;1062018;0
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);4c9e4a941fb96389226238990c9ea42f;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R3);4a1925257f980568117ec557664b1b24;1;1085409224;18;3002495;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R3);0da4368934d004662a22f385d27af7dd;1;1085409224;3;1182253;0
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);0a14e5e6afeaf686d0728efd5be0efb1;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R1);36e2809009ae4d5ae51745d939c775dd;1;1428166894;18;3056254;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1);c10aa1ad399bb69bf095316fb00320b6;1;1428166894;3;1090545;0
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);f5af8c5d3bbe7e64129c48221ee40827;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R2);d03c351d268746784312a7990db83d49;1;552771753;3;1097006;1
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);7a1ee46037d5a10ea74bfd094e936794;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R2);167a1c995260c1d966a86cb6bb278009;1;552771753;18;3015542;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R3);d8d2308d0b273fc091c7cb5b21fb6c6d;1;2376142392;3;1153533;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R3);08a4c526a8cf610bdbba0a94245b1c42;1;2376142392;18;3057047;0
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);101b8520a3785b89633a1eacba77350d;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_INDEX (genome.fa);bf2f72559ac0cb94f00716fb37a97c72;2;3147289284;4;14721577032;6
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R1);cfeb18b95ac1315fe23b8fb642a50ca2;4;17056100565;3;5951400828;0
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2);334ec550b4a582dec5ab7d29c214a578;4;17088777110;3;6001669813;0
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3);1ea53c98d600e77bbcd092b52b012fdd;4;15806986176;3;2726018345;0
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R1);6b9a311f89969733ad3693d7caedcd19;4;16149743846;3;3606203674;1
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R2);5b2f13a4933feabb5c89ca05de9d8167;4;15274348705;3;1444979344;1
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R3);005f9a0a6f62127d255815bbda2f039f;4;17097719344;3;5933393391;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R2);38436913721d855f129bdf25dc7989a2;2;1444979264;2;702944252;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R2);d84026669d41d15f5410aff8642e8fe1;1;702944162;2;677416805;7
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R2);fec856fcd517e04f7e11fc6bb9ce285f;1;677416719;2;2033295;5
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R2);9b771957fa71ce6bd179b294daf17071;2;679449927;2;619;1
