name;hash;path;type;size
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578812);2e276d07900b139b397a074d4a10f1f8;/workspace/work/2e/276d07900b139b397a074d4a10f1f8/versions.yml;f;97
NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa);1f1db76303e5e3894e93bf7b565cd78a;/workspace/work/1f/1db76303e5e3894e93bf7b565cd78a/rsem;d;4418780555
NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa);1f1db76303e5e3894e93bf7b565cd78a;/workspace/work/1f/1db76303e5e3894e93bf7b565cd78a/genome.transcripts.fa;f;290643355
NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa);1f1db76303e5e3894e93bf7b565cd78a;/workspace/work/1f/1db76303e5e3894e93bf7b565cd78a/versions.yml;f;89
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578808);2c9456c43ad5fe7a61086119484597db;/workspace/work/2c/9456c43ad5fe7a61086119484597db/SRR16578808_raw_1_fastqc.html;f;590538
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578808);2c9456c43ad5fe7a61086119484597db;/workspace/work/2c/9456c43ad5fe7a61086119484597db/SRR16578808_raw_2_fastqc.html;f;588290
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578808);2c9456c43ad5fe7a61086119484597db;/workspace/work/2c/9456c43ad5fe7a61086119484597db/SRR16578808_raw_1_fastqc.zip;f;360428
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578808);2c9456c43ad5fe7a61086119484597db;/workspace/work/2c/9456c43ad5fe7a61086119484597db/SRR16578808_raw_2_fastqc.zip;f;360958
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578808);2c9456c43ad5fe7a61086119484597db;/workspace/work/2c/9456c43ad5fe7a61086119484597db/versions.yml;f;120
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578807);b73dbc966a0aed2138a0724bc942520b;/workspace/work/b7/3dbc966a0aed2138a0724bc942520b/SRR16578807_raw_1_fastqc.html;f;590753
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578807);b73dbc966a0aed2138a0724bc942520b;/workspace/work/b7/3dbc966a0aed2138a0724bc942520b/SRR16578807_raw_2_fastqc.html;f;591441
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578807);b73dbc966a0aed2138a0724bc942520b;/workspace/work/b7/3dbc966a0aed2138a0724bc942520b/SRR16578807_raw_1_fastqc.zip;f;358634
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578807);b73dbc966a0aed2138a0724bc942520b;/workspace/work/b7/3dbc966a0aed2138a0724bc942520b/SRR16578807_raw_2_fastqc.zip;f;361769
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578807);b73dbc966a0aed2138a0724bc942520b;/workspace/work/b7/3dbc966a0aed2138a0724bc942520b/versions.yml;f;120
