test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,46.93,10.81,41.40
CPUStress,32,10,55.13,10.88,40.90
CPUStress,32,20,63.31,10.92,41.10
CPUStress,32,30,71.10,11.13,42.40
CPUStress,32,40,76.63,11.08,42.10
CPUStress,32,50,81.58,11.11,43.80
CPUStress,32,60,86.48,11.15,44.40
CPUStress,32,70,92.05,11.35,45.30
CPUStress,32,80,94.39,11.43,47.00
CPUStress,32,90,97.09,11.35,47.60
CPUStress,32,100,97.31,11.19,48.60
ipsec,32,100,104.40,10.87,49.40
VMStress,32,100,91.54,32.88,47.00
maximize,32,100,95.56,16.94,49.20
