test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.03,10.87,37.20
CPUStress,32,10,61.25,10.90,38.80
CPUStress,32,20,71.74,11.00,40.90
CPUStress,32,30,79.34,11.00,42.10
CPUStress,32,40,87.00,11.09,43.60
CPUStress,32,50,93.57,11.11,44.80
CPUStress,32,60,99.57,11.29,45.30
CPUStress,32,70,103.30,11.20,47.70
CPUStress,32,80,107.81,11.26,48.50
CPUStress,32,90,109.56,11.17,49.80
CPUStress,32,100,112.20,11.21,50.50
ipsec,32,100,120.67,10.80,51.70
VMStress,32,100,103.50,33.52,49.30
maximize,32,100,112.16,18.19,51.60
