test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.36,10.45,43.10
CPUStress,32,10,60.31,10.51,42.70
CPUStress,32,20,71.24,10.66,42.80
CPUStress,32,30,80.04,10.79,43.10
CPUStress,32,40,87.36,10.84,44.50
CPUStress,32,50,94.31,10.94,45.90
CPUStress,32,60,99.25,11.00,47.40
CPUStress,32,70,106.47,11.44,48.40
CPUStress,32,80,106.98,11.11,48.90
CPUStress,32,90,110.15,11.12,50.20
CPUStress,32,100,112.16,11.15,51.20
ipsec,32,100,121.22,10.64,51.70
VMStress,32,100,104.38,32.51,49.30
maximize,32,100,112.37,18.34,51.80
