test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.95,10.96,34.30
CPUStress,32,10,61.83,10.98,36.90
CPUStress,32,20,71.48,10.88,38.50
CPUStress,32,30,80.13,10.86,39.30
CPUStress,32,40,86.56,10.92,41.70
CPUStress,32,50,92.89,10.85,42.80
CPUStress,32,60,98.47,10.89,44.60
CPUStress,32,70,104.39,11.05,46.00
CPUStress,32,80,108.43,11.07,48.20
CPUStress,32,90,110.31,11.07,49.20
CPUStress,32,100,112.21,10.98,49.90
ipsec,32,100,119.85,10.37,51.40
VMStress,32,100,102.47,32.75,48.60
maximize,32,100,110.48,17.49,50.60
