test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.34,10.81,43.10
CPUStress,32,10,61.63,10.86,42.80
CPUStress,32,20,71.58,11.02,44.10
CPUStress,32,30,80.51,11.14,43.40
CPUStress,32,40,88.06,11.28,44.20
CPUStress,32,50,94.12,11.24,46.70
CPUStress,32,60,99.44,11.23,47.70
CPUStress,32,70,103.95,11.27,49.30
CPUStress,32,80,107.90,11.32,50.10
CPUStress,32,90,109.67,11.14,51.00
CPUStress,32,100,112.35,11.27,51.50
ipsec,32,100,121.20,10.84,52.90
VMStress,32,100,103.20,33.39,50.10
maximize,32,100,112.49,18.40,52.10
