task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R2);5ec5ffecefadb2e4315433df400768c6;1;552771753;18;3023994;0
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);9c95eb3e94743a797df53b97afc7bfde;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);9c0b6ac10e6f4c1880dd35244186aefb;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R3);9822b1397e56f884d0a36044d2c3f8ac;1;2376142392;18;3010354;0
NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R3);afa3fb5d407cf1f2aac18338a84f1fca;1;2376142392;3;1153535;0
NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa);b3715a278f2b2328a5b6d0a799e9258c;1;3147288982;2;792;0
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_INDEX (genome.fa);5d7f20c776c96e9478ec42596b2b61b6;2;3147289284;4;14721577032;6
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R1);7a2b79f8166dbdcb435bd3a253cd18d8;4;17056100565;3;5951400828;1
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2);7b5a41f23a955b1dfb71735087b2b0b2;4;17088777110;3;6001669813;0
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3);ae51a9b4794b7493aec532d33abfb61e;4;15806986176;3;2726018345;1
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R1);1b0bd848f5e55d10e2344f4f635a53e0;4;16149743846;3;3606203674;1
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R2);8dd99a9144d2463e7ace0d725c4e16f6;4;15274348705;3;1444979344;0
NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R3);c79216528571ed4732040f11c7ad8ee8;4;17097719344;3;5933393391;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R3);f4222f83c8e1b0737123bd48b8305569;2;2726018265;2;1359956880;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R1);7e34d0846d3e4b0a2310d0ed5d29911a;2;3606203594;2;1772156005;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R1);c1eb848ed71f812f6eeaa75bb34001c9;2;5951400748;2;2929853326;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R3);f52a13f5f2a7b8176fa047cbeda3b29a;1;1359956790;2;1261852194;6
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R1);13b3c549cb4617d6bb04b7fccc6d30f0;1;1772155915;2;1667335539;6
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1);7a0834e913e8616ef9e3f8a2834c9400;1;2929853236;2;2714955496;6
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R3);7510e4a3507d056fbe80c15c8519d1d8;1;1261852108;2;2088519;4
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R2);47a353c356e5fc0450cfc277a5637776;2;1444979264;2;702944252;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R1);dd65a12db9679c2d71236f4c7a8ae2f4;1;1667335453;2;2248455;0
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R3);fd8eb85d8d2ff542ae61d77b97f097b6;2;1263940540;2;591;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R3);cff5a7033cce068f9f836785f55a43d0;3;4411229522;2;24964909;1
NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R3);1429c233e2bb26e1ad99cdddb336f93b;2;1263940540;2;627;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R3);543ff5e0cc22dcead39863e82d48b01b;3;1263940842;3;279215159;1
NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (1);fe9265d1b31c150e06f72d5788f387ad;3;1263940842;3;169403154;1
