timestamp,energy
1781763257023,47315964035
1781763258023,47323229546
1781763259025,47335047848
1781763260023,47346551765
1781763261023,47358315047
1781763262026,47370222073
1781763263026,47381816184
1781763264023,47393346662
1781763265023,47405057113
1781763266021,47417017521
1781763267022,47429656974
1781763268022,47442576033
1781763269021,47455538438
1781763270021,47468219400
1781763271020,47481332494
1781763272021,47494288565
1781763273021,47507513441
1781763274021,47520609736
1781763275021,47533806170
1781763276025,47546722613
1781763277021,47559832694
1781763278022,47572555745
1781763279020,47585521302
1781763280176,47600434579
1781763281021,47611306300
1781763282020,47623991882
1781763283023,47636847615
1781763284021,47649616337
1781763285020,47662612647
1781763286022,47675591239
1781763287021,47688609428
1781763288023,47700679047
1781763289024,47712623084
1781763290020,47725245828
1781763291023,47738244892
1781763292025,47750724674
1781763293023,47762557923
1781763294020,47775804939
1781763295020,47789166321
1781763296020,47802733015
1781763297021,47815909528
1781763298020,47829152948
1781763299021,47842516473
1781763300021,47855766411
1781763301021,47868850144
1781763302021,47882074822
1781763303021,47895340595
1781763304022,47908564737
1781763305020,47922140565
1781763306021,47935225905
1781763307023,47947928669
1781763308021,47960816471
1781763309023,47973905927
1781763310083,47987502639
1781763311022,47999872765
1781763312021,48013286918
1781763313021,48026518266
1781763314020,48039909867
1781763315021,48053086930
1781763316021,48066080394
1781763317021,48079304352
1781763318019,48092189202
1781763319021,48105132864
1781763320020,48118231729
1781763321020,48131321491
1781763322024,48144257672
1781763323020,48157117307
1781763324020,48170428047
1781763325020,48183029157
1781763326021,48195685424
1781763327020,48208825003
1781763328021,48222402743
1781763329021,48235612610
1781763330022,48248353655
1781763331020,48261404952
1781763332021,48274582032
1781763333021,48287854001
1781763334021,48300777529
1781763335020,48313798165
1781763336021,48326602475
1781763337021,48339912940
1781763338023,48353059266
1781763339023,48366466136
1781763340023,48379736973
1781763341020,48392757319
1781763342016,48405727940
1781763343020,48418560081
1781763344020,48431580381
1781763345021,48444512568
1781763346020,48457615962
1781763347020,48470689567
1781763348022,48483505551
1781763349021,48496345311
1781763350022,48508986186
1781763351022,48521858551
1781763352023,48534776601
1781763353021,48547693412
1781763354021,48560910653
1781763355024,48572837952
1781763356023,48584488611
1781763357022,48597458681
1781763358020,48610645491
1781763359021,48623672141
1781763360020,48636719139
1781763361021,48649851588
1781763362021,48663046966
1781763363022,48676379845
1781763364022,48689419331
1781763365023,48702308862
1781763366021,48715179115
1781763367021,48728729484
1781763368020,48742106656
1781763369020,48755056622
1781763370177,48770048832
1781763371020,48780995094
1781763372020,48794427546
1781763373023,48807616911
1781763374021,48820717260
1781763375021,48833982131
1781763376021,48847206502
1781763377020,48860627157
1781763378022,48873777354
1781763379023,48886944137
1781763380021,48900127320
1781763381023,48913298019
1781763382022,48926191712
1781763383021,48939189965
1781763384020,48952084988
1781763385083,48965682098
1781763386020,48977918625
1781763387021,48990693620
1781763388021,49003753501
1781763389021,49016532352
1781763390020,49029953298
1781763391021,49042887168
1781763392021,49055712240
1781763393020,49068709208
1781763394020,49081959390
1781763395024,49095128483
1781763396023,49108006110
1781763397021,49121136371
1781763398020,49134069997
1781763399021,49147161228
1781763400084,49160950016
1781763401020,49173076123
1781763402021,49186028552
1781763403023,49198995180
1781763404020,49212008778
1781763405020,49225146399
1781763406020,49238244683
1781763407021,49251044051
1781763408021,49264108415
1781763409021,49277182968
1781763410021,49290012998
1781763411019,49302945185
1781763412021,49316293838
1781763413026,49329658128
1781763414023,49342589688
1781763415020,49355611809
1781763416021,49368863996
1781763417020,49381672054
1781763418020,49394741314
1781763419019,49407669554
1781763420021,49420715328
1781763421020,49433422361
1781763422020,49446460608
1781763423020,49459790687
1781763424022,49472913543
1781763425020,49486054254
1781763426020,49499256532
1781763427020,49512775153
1781763428021,49526608067
1781763429021,49539922601
1781763430083,49553402283
1781763431020,49565430531
1781763432021,49578691684
1781763433022,49591843656
1781763434020,49605025585
1781763435020,49618083462
1781763436021,49631524665
1781763437021,49643378141
1781763438022,49657073538
1781763439020,49670551201
1781763440021,49683337442
1781763441021,49696604592
1781763442021,49710183663
1781763443021,49723245732
1781763444021,49736211228
1781763445023,49749540297
1781763446021,49762453772
1781763447022,49776650153
1781763448021,49789694917
1781763449021,49802280468
1781763450023,49815056335
1781763451021,49827944321
1781763452022,49841072730
1781763453020,49854094224
1781763454021,49867213576
1781763455020,49880112822
1781763456020,49893273301
1781763457020,49906520592
1781763458019,49919710416
1781763459021,49932590660
1781763460173,49947353507
1781763461021,49958226666
1781763462021,49971057644
1781763463020,49984191317
1781763464021,49997273751
1781763465021,50010299436
1781763466020,50023206348
1781763467021,50036400701
1781763468021,50049447118
1781763469021,50062490016
1781763470020,50075881785
1781763471021,50088840624
1781763472020,50102159014
1781763473022,50115668914
1781763474019,50128619508
1781763475020,50141347608
1781763476023,50154084001
1781763477020,50167351962
1781763478021,50180503123
1781763479021,50193526453
1781763480019,50206541199
1781763481021,50219312935
1781763482021,50232043025
1781763483020,50245177080
1781763484021,50258220162
1781763485021,50270828387
1781763486021,50283823059
1781763487019,50296681348
1781763488022,50309950334
1781763489022,50322740904
1781763490174,50337153673
1781763491020,50348100991
1781763492021,50361044791
1781763493021,50374383698
1781763494025,50386733353
1781763495021,50398813071
1781763496020,50411978568
1781763497020,50425199389
1781763498023,50438615087
1781763499016,50451946207
1781763500018,50465438772
1781763501023,50478647568
1781763502021,50491412388
1781763503021,50504178969
1781763504021,50515918720
1781763505086,50528345533
1781763506020,50540581310
1781763507020,50553700983
1781763508020,50566684456
1781763509020,50579586763
1781763510021,50592344469
1781763511021,50605396516
1781763512021,50618950618
1781763513020,50632334217
1781763514021,50645448596
1781763515023,50658835913
1781763516020,50671952082
1781763517020,50685119676
1781763518021,50698474020
1781763519020,50712063236
1781763520021,50724977675
1781763521022,50737779629
1781763522020,50750676687
1781763523021,50763675353
1781763524021,50776768129
1781763525025,50789312033
1781763526021,50801270436
1781763527020,50814438580
1781763528020,50827490444
1781763529023,50840737261
1781763530021,50854469944
1781763531024,50867821489
1781763532024,50881074976
1781763533021,50894353739
1781763534021,50907301655
1781763535084,50920836326
1781763536022,50933233105
1781763537020,50946336468
1781763538021,50959022081
1781763539021,50972149420
1781763540022,50985325902
1781763541020,50998875888
1781763542020,51011964579
1781763543020,51024994304
1781763544020,51037856953
1781763545020,51050955344
1781763546021,51063812775
1781763547021,51076725425
1781763548021,51089723830
1781763549020,51102554609
1781763550175,51117082969
1781763551020,51127850910
1781763552021,51140846898
1781763553021,51154284353
1781763554022,51167610791
1781763555020,51180963544
1781763556021,51194238849
1781763557025,51206692866
1781763558025,51218750245
1781763559021,51231645682
1781763560020,51245027597
1781763561021,51258162020
1781763562021,51271529875
1781763563021,51285248666
1781763564020,51298507554
1781763565020,51311649076
1781763566019,51324755056
1781763567020,51338409893
1781763568021,51351331523
1781763569024,51364320504
1781763570022,51376990480
1781763571021,51388875122
1781763572020,51402483875
1781763573020,51416278677
1781763574021,51429562779
1781763575021,51442384409
1781763576020,51455270864
1781763577021,51468230163
1781763578021,51481404733
1781763579021,51494768793
1781763580085,51509414474
1781763581024,51521523093
1781763582021,51534465623
1781763583021,51547470837
1781763584021,51560676588
1781763585021,51574202079
1781763586021,51586998173
1781763587022,51600013500
1781763588022,51613248995
1781763589024,51626320779
1781763590021,51639570793
1781763591020,51652507448
1781763592022,51665973116
1781763593021,51678851478
1781763594021,51692422486
1781763595021,51705778988
1781763596021,51719327016
1781763597020,51732539453
1781763598021,51745884557
1781763599022,51758925650
1781763600021,51772330240
1781763601021,51785656035
1781763602022,51798982473
1781763603021,51812255314
1781763604022,51825607594
1781763605022,51838696162
1781763606021,51851645333
1781763607021,51864919812
1781763608021,51878240374
1781763609021,51891366718
