task,total_ascribed_pkg_j,total_ascribed_dram_j,total_ascribed_j,total_base_pkg_j,total_base_dram_j,total_total_pkg_j,total_total_dram_j,total_tracer_pkg_j,total_tracer_dram_j,total_duration_s,samples,avg_pkg_credit_frac_wt,avg_dram_credit_frac_wt,avg_pkg_percent_wt,avg_dram_percent_wt,max_sample_ascribed_j,eligible_pkg_j,eligible_dram_j,unattributed_pkg_j,unattributed_dram_j,coverage_pkg,coverage_dram,pcf_pos_samples,dcf_pos_samples,pcf_hit_rate,dcf_hit_rate,pods,pids
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0110_Y0102,7520.6434688858,1139.2603580866,8659.9038269724,12175.3701945862,1444.2637555480,38243.6019250000,7188.3363600000,1436.5721747922,1264.5103605234,282.7122412329,259,.02606676122782052196,.00066102327683097273,86.94840963326740208752,25.67465750948425422456,86.5574685514,24631.6595556216,4479.5622439288,17111.0160867358,3340.3018858425,.30532426984479773246,.25432403794157612145,224,225,.86486486486486486486,.86872586872586872586,"nf-0fd2ff3e0d0fddfddbf6df4d78b947a8-ad21c","2185084;2191093;2191157;2265298;2298083;2335050;2384123;2384358;2385242;2385429;2435444;2441051;2522025;2529109;2529124;2606151;2606168"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0110_Y0101,7848.1216712301,9487.0547583752,17335.1764296053,31381.6627157928,3722.5478424798,98709.4133170000,83296.4085600000,2243.0111062579,17573.2669078989,728.6825828052,465,.01098847536299705272,.00028346758146025219,81.20637236960417556405,25.30543245541961614624,7412.9458236501,65084.7394949494,62000.5938096215,57236.6178237192,52513.5390512461,.12058313104009761246,.15301554671405358245,226,421,.48602150537634408602,.90537634408602150537,"nf-cccae0e563593421739469eddcac77f7-93a05","2102018;2192040;2192103;2264113;2264280;2304258;2315686;2315740;2348163;2348296;2380769;2381054;2408647;2473096;2497113;2566880;2599428;2599460;2660446;2660488;2724641;2724710"
NFCORE_RANGELAND_RANGELAND_HIGHER_LEVEL_FORCE_PYRAMID_X0107_Y0,383.6629960435,33.7193683788,417.3823644223,7823.9240921535,977.1002704842,20383.7735690000,2824.8003120000,354.6692591420,410.1831771853,173.4453168428,162,.00431800476042135140,.00006256878592943396,39.16244220786794673203,26.00968967770760404753,42.1537812659,12205.1802177046,1437.5168643301,11821.5172216611,1403.7974959512,.03143443924629362104,.02345667672880737141,10,13,.06172839506172839506,.08024691358024691358,"nf-04f057bb18984f05faa7cefb534114d6-2e0dc;nf-0769634a2a6df94894eec1fd38005f0c-d2857;nf-158b3bf9029783ee6a3ff2cbd6f06acb-bc414;nf-1885dd0df46d0f7c6230179f04986233-5ef66;nf-19fa2db02b3e6c909d49e307f3450922-a1982;nf-1d24c59dba4eb07ca2a7de3e02f02244-6321f;nf-1d3b1d659aa02267e6dcd005cfa1df5f-0d80b;nf-31f22d402235c296e767e94749a0eb8e-c39ad;nf-325924b4a2e91a59ccd5be1844a0f8f3-66197;nf-385d336d354cff58a1bedc207a5d3f15-ad395;nf-548dcfef3d1ccbbafc4ce66a0097b44b-c6433;nf-5b55275eac7d2274191ada3bf2bb43de-b20bc;nf-619815af87ed0c2dd0a7f1ca58e79c6a-60b89;nf-655c1d1ef63ea91f506062309a4d7e28-d9763;nf-6781f2be31a42cb5c2ef3961203c3e4f-68968;nf-7079ab8a93c540a68bce4bbeadbe9d8e-fc785;nf-714abe77b1483e7a82b380a5b6f0c80c-c6a71;nf-935d226462c9a3314ef7e25274e774b3-8949a;nf-a41cff07d152ed540437c77152905e77-2a1ee;nf-b06b67136cb75270caaaeae238b61600-0dab6;nf-b5d5bda576180af6dca93ed7c4c8b7d3-9329b;nf-bcacf3098986c08571ea59bcea18cbc9-f4954;nf-ce285150613e865b3fb299160b764730-3d140;nf-e0f282a82a7e10072f5f914c3e51fbe1-b4590;nf-f25b5e9e80c822af7d76c941fb5a422e-a8ca8;nf-f4dae47c811e1bb1729d62e5835d8378-af6df","134372;134956;3334684;3334796;3335123;3369659;3369730;3390819;3475534;3542373;3568125;38960;3953280;3953437;3953640;3953641;3953642;3953643;3953644;3953645;3953677;3953679;3953683;3953714;3954364;3954375;3967977;4033627;4033702;4034024;4034025;4034026;4034027;4034028;4034029;4034234;4034238;4034289;4034338;4034562;4034566;4035050;4040314;4091181;4128655;4128751;4128848;4128849;4128850;4128851;4128852;4128853;4128909;4128912;4128945;4129000;4129422;4129469;4142663;4149844;4151697;58051;58737;62587;63176;74874"
NFCORE_RANGELAND_RANGELAND_HIGHER_LEVEL_FORCE_PYRAMID_X0106_Y0,433.0376995787,45.3300125867,478.3677121654,6317.9695765923,812.1170971941,16831.2611160001,2276.4656480000,435.0780567869,329.9339070671,136.1850453952,136,.00557006256082458449,.00008549452596805004,35.26066149414340302574,22.83174680997237002564,41.8885835159,10078.2134826212,1134.4146437391,9645.1757830424,1089.0846311526,.04296770457635444459,.03995894520304278512,12,18,.08823529411764705882,.13235294117647058823,"nf-05b62bef747ca8b6ed1a7d7bae9fa13c-7fbd0;nf-0b8875c899ea3eb0b9f8f1756ec49f48-7117d;nf-17697548f2e79818a36807b9e0991a4e-4324a;nf-1b31149806d9a997d28374815bf50fd7-40f45;nf-203c1b63864963db0e62993cce01adee-70952;nf-25cb0378c2193f863fd766334d5f26d2-1ed36;nf-3920144d7539d7de26fdcaad21f501ad-9babe;nf-3d6c50dc8a730a783447e0f77c6bd8c7-3327d;nf-4011080da70df8d49161aa3319921d90-a97a0;nf-41bc1ab0bd9dbe21cb589a51a106d1a0-15a03;nf-437e5c72fcf581cc7bd1e5098dc7368b-0de15;nf-44e0bc290b637b5bd8587517279d6986-dec25;nf-466e06f548ad27f14b1b74314e0eed3d-9e1b6;nf-58ae3d6d8eb4fd2877100862216a7771-7b13c;nf-67437e9302e8e5e301a87bec7c5ac0ab-8ba44;nf-71c8d6b49950f2dedb898deeb1e1b0ed-bee0a;nf-74aec977452797f6d0d9a9c7891e210f-f9f8d;nf-7b999430c83198353abff0c4f542cb3b-0aa2a;nf-8bc1fb13c688af658bb481293aaaf6df-a8462;nf-ab972aa4c162335bee5060481938bccf-5e9fb;nf-b0dfc942c0993191f79a5bb8df2bb6df-10dad;nf-b9c7a45f94757b27199197fde0409c11-1b211;nf-bda49570b3791178831d2826de7f570d-3a75a;nf-d7abf9515ea7a2102a0b6d1819e79fb4-3df2e;nf-f2b3a47de28de381dd03e912fe81f9f5-c23e7","132381;3665203;3673333;3749501;3762595;3777759;3778166;3778590;3778591;3778592;3778593;3778594;3778595;3778676;3778678;3778816;3778827;3779099;3779112;3795395;3799122;3799414;3799773;3799774;3799775;3799776;3799777;3799778;3799858;3799933;3799936;3800005;3800100;3800606;3800631;3805692;3926176;3926796;3938903;3938989;3938991;3938992;3939021;3972605;4037536;4038038;4077908;4078794;4079590;4137686;4141947;4156221;4157129;4158320;4158462"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_BOA_X0110_Y0102,419.2838899735,321.5803352834,740.8642252569,3595.2787854323,467.7818526106,10300.0130610000,1993.8311430000,80.4540714795,366.3196410272,76.5500184260,12,.00087629418750363554,.00208227285214945037,88.39078285218204004825,16.88542541088114146445,207.0434709236,6624.2802040882,1159.7296493622,6204.9963141147,838.1493140788,.06329501123982305806,.27728905220303279949,6,10,.50000000000000000000,.83333333333333333333,"nf-539371a2f68a353d4c84f586a4af9f9e-0db42","2050089"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_BOA_X0110_Y0101,213.4201647241,428.8193152967,642.2394800208,18722.2774205860,2220.8693672321,58139.5591110000,11567.8283870000,261.7975282797,2077.2413185765,434.7315051588,22,.00000550134961837280,.00003573501233669568,95.37156017347994193439,24.65827369710912977631,160.6358207193,39155.4841621341,7269.7177011915,38942.0639974100,6840.8983858948,.00545058168200333941,.05898706564993808649,4,10,.18181818181818181818,.45454545454545454545,"nf-49f532a5d5eb912d901ad6bd0e5a8e56-b35a7","2100407;2100408;2100409;2100410;2100547;2100553"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0109_Y0101,8757.9275444384,1277.7512699551,10035.6788143935,13812.8172555646,1638.5005963178,43204.5926509999,8037.6222550000,1621.1756626881,1408.7262608260,320.7337815319,300,.02837120539045856180,.00066056152360404882,81.59964437902519895400,25.67343155562027236403,54.5692757230,27770.5997327473,4990.3953978562,19012.6721883087,3712.6441279011,.31536688543715481925,.25604209047323244838,260,260,.86666666666666666666,.86666666666666666666,"nf-750c96ed47e3d53ba5938e1c79fa5fee-0ca38","2185318;2264998;2265069;2299858;2299923;2341166;2379086;2379251;2389540;2389582;2468564;2483286;2483294;2566837;2580510;2580560;2659577;2659601;2724937;2725126"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0109_Y0102,7210.1049321618,1044.3304997660,8254.4354319278,10721.1605972190,1271.7628639216,33471.6992300000,6211.9037340000,1240.2011497324,1087.7731146677,248.9454770259,232,.03053028772966726986,.00070088806024721228,81.40705409548355561779,25.66872825959710020389,124.7347971981,21510.3374830485,3852.3677554107,14300.2325508868,2808.0372556446,.33519255278276394122,.27108795579010451367,209,210,.90086206896551724137,.90517241379310344827,"nf-3fb9a65f123bdb9e9f79c2ad99447637-569b5","2180375;2305827;2305909;2412915;2412986;2467995;2566637;2599148;2599159;2646492;2646524"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0106_Y0103,13443.9996789612,2094.1851599377,15538.1848388989,25235.0603626754,3283.3346151133,72436.4253390000,13453.1114790000,2514.0018622336,2458.0126933984,537.3002904730,445,.02938168629799634461,.00100995336597025111,79.48416260288579239150,16.12443284847164936887,109.6229159582,44687.3631140911,7711.7641704884,31243.3634351296,5617.5790105509,.30084566960546288275,.27155720969162772761,401,403,.90112359550561797752,.90561797752808988764,"nf-7ddc1813d90bc419e0acfb834204163a-bcadb","1984007;1984022;2082230;2082308;2242290;2246419;2400061;2400116;2484637;2570453;2570493;2589262;2589320;2676621;2676656;2698329;2698356;2766001;2766028;2784186;2784194"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0106_Y0102,53085.5771314364,5546.3838054822,58631.9609369186,77226.6512761875,10047.9623864670,202582.5854450000,33525.7122350000,9251.3383903259,5758.9881788960,1644.2957364320,1612,.09592692011174781183,.00124008548208281862,40.77665961920865982498,14.77040642587708104597,99.4246825921,116104.5957784870,17718.7616696371,63019.0186470498,12172.3778641545,.45722201412868289913,.31302321848972621380,1435,1438,.89019851116625310173,.89205955334987593052,"nf-5995d981a715f6faa89c40f9dab5f64c-7d9e1","2231440;2231459;2293410;2364119;2440428;2440437;2504413;2518238;2518270;2596205;2596242;2614879;2614908;2694466;2694519;2705877;2705891;2781280;2781293;2788510;2788531;2833754;2833777;2846799;2846826;2868922;2868936;2889249;2889293;2901561;2901593;2920202;2920230;2933110;2933123;2952419;2952436;2963514;2963536;2987596;2987612;2995455;2995467;3018686;3018699;3026545;3026564;3039949;3039960;3046881;3046904;3060338;3060343;3075469;3075474;3087916;3087942;3102035;3102048;3108221;3108234;3129250;3129267;3130002;3130007;3148814;3148819;3153958;3153980;3173780;3173796;3174665;3174685;3195650;3195656;3199863;3199880;3215653;3215684;3225859;3225864;3236565;3236582;3249725;3249730;3255907;3255912"
