task,total_ascribed_pkg_j,total_ascribed_dram_j,total_ascribed_j,total_base_pkg_j,total_base_dram_j,total_total_pkg_j,total_total_dram_j,total_tracer_pkg_j,total_tracer_dram_j,total_duration_s,samples,avg_pkg_credit_frac_wt,avg_dram_credit_frac_wt,avg_pkg_percent_wt,avg_dram_percent_wt,max_sample_ascribed_j,eligible_pkg_j,eligible_dram_j,unattributed_pkg_j,unattributed_dram_j,coverage_pkg,coverage_dram,pcf_pos_samples,dcf_pos_samples,pcf_hit_rate,dcf_hit_rate,pods,pids
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0106_Y0101,691.4600165913,129.2171143514,820.6771309427,2499.9645424507,325.2704769007,7149.6639480000,1380.0115470000,171.1888499775,252.3587016662,53.2287878660,31,.01134721844541204416,.00056549775989219780,94.16993566855911465778,16.87808125247305814724,67.5476933799,4478.5105555718,802.3823684331,3787.0505389805,673.1652540817,.15439508470758017239,.16104181676341720056,22,23,.70967741935483870967,.74193548387096774193,"nf-b28c560f6aa52ae77ee3fb2a00ce5b11-b40cf","2083255;2239390;2239412;2267236"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0111_Y0102,3706.4361147340,639.3712299380,4345.8073446720,6629.4080871069,862.5525256245,19052.8627850000,3625.2827480000,627.0965431097,663.1222877204,141.1521446620,135,.02400564886218278379,.00110744500818118217,91.80570046924633528314,16.59076550417125251911,85.7717968138,11796.3581547834,2099.6079346553,8089.9220400493,1460.2367047173,.31420172786387021107,.30451934353304290484,121,121,.89629629629629629629,.89629629629629629629,"nf-2b7e62d78bbb3b5ffdfa5f0da6532170-0d38d","1957709;2130500;2130593;2503830;2503864;2507103;2507116"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0111_Y0101,9245.9662832195,1432.8747170807,10678.8410003002,31452.2254515801,3730.9181178932,98392.0965629999,83588.9927870000,2779.6322058631,17653.9982865195,730.3210503722,500,.01196791222660984928,.00032118099263393330,84.84193143175968037769,25.46917107818537412374,56.2335549146,64160.2389055571,62204.0763825872,54914.2726223373,60771.2016655067,.14410741669508778394,.02303506137230911311,283,284,.56600000000000000000,.56800000000000000000,"nf-2957c7ee9d0f5ce428bd5e0540d89e90-ba3b1","2093869;2183698;2189007;2233861;2233903;2307827;2378787;2378912;2380029;2380102;2397174;2397191;2405642;2405669;2478856;2478898;2493590;2579241;2588864;2588880;2666643;2666751"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0104_Y0103,8878.4130245594,1530.0161898328,10408.4292143922,17176.9907770607,2234.8988903241,49273.4690760000,9377.2707030000,1647.3799439226,1717.1300221736,365.7293464460,315,.02313827553526516603,.00102699698164762350,90.04466813040859459453,16.54377323625372172522,55.7285507969,30449.0983550166,5425.2417905020,21570.6853304570,3895.2256006692,.29158213228657554239,.28201806461629186329,285,285,.90476190476190476190,.90476190476190476190,"nf-564cf850fb18be0ca5d467fe487b4fcc-88d25","1957452;2081004;2081029;2231367;2418200;2418222;2449321;2449383;2501042;2543700;2543728;2609213;2609256;2704208;2704395"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0104_Y0102,8611.0245475311,1499.7045660205,10110.7291135516,15531.9164655868,2020.8582122489,44631.5913100000,8487.3533480000,1369.3073300704,1555.8573176698,330.7027250430,313,.02389737335690963219,.00111490391363439515,90.23543901418494849835,16.47846933746864595230,71.6689460337,27730.3675143429,4910.6378180814,19119.3429668117,3410.9332520608,.31052688151634643829,.30539913990367116706,282,283,.90095846645367412140,.90415335463258785942,"nf-a6e588e6994b9e8bfb4042df240431ef-8bcf3","1957430;1957444;2137040;2137331;2262841;2326180;2335757;2504394;2504433;2516595;2516644;2614111;2619059;2716110;2716166"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_PREPROCESS_CONFIG_LT0,0,0,0,3053.7288506696,384.9234813939,7203.6433640000,991.9731580000,18.9723869989,194.7408170326,67.1001988152,67,0,0,19.29631885860665964747,5.26607095091580744386,0,4130.9421263318,412.3088595735,4130.9421263318,412.3088595735,0,0,0,0,0,0,"nf-11ed8de35f11297960957c16f01d1950-d77fe;nf-2114b5dd50e0fbb0c4b60c01bcfc050e-2a930;nf-28771b69149db04620ccf8f9be206e85-a27a1;nf-2ccca464e4687e7afb058cbff737e800-7a223;nf-2f4003e5e5879638afb7a3f55ec3fc53-918fd;nf-419a9a6383afe6ef4d6c90fa9f6ed60c-703a0;nf-563c76623a0b3948b2e82598a02079db-e32b6;nf-5baca7ab2617867d8f739816335d10c4-81f1a;nf-5cf1666030c05970a8007401fe8fc966-99a13;nf-622279b0f7ce1f5e4b5baf0ba60324e0-e1b14;nf-6ff684024afdcae8b35c3831b8f277c9-3d75a;nf-78ca2463cf101c462fd8efd104fa5ef4-1a70f;nf-7d2753727e1f2106a1358b123504c08f-f558a;nf-83fe312778826bc300f5555296ea064d-3fba7;nf-848b2432de964d553c7dbab2a7f7e4a4-14f80;nf-8871adae491b9f13baf82142fdddf460-7b4db;nf-8edcd174ae80758974ec89dcc21439e8-3e814;nf-a48ee8aafcdcb5914fdc86bbd98b2198-d96d6;nf-a8d8f368a538bf70443562bb7348450c-2c2df;nf-badc0a2682e37dcc33a9b9060660e773-030ee;nf-c05d5d0bd0e211e72053478ce23200ef-4feef;nf-c08b7554f933a77de5cc68fdb2172ad8-32676;nf-ce56edcea162089bfb83cc98e8a7c494-72434;nf-cee1d04f351e0de78ddb144a4c0b4f26-46701;nf-d1957e02ce8a0b0aa2f71e7c685ce7b6-705fb;nf-e04f001ef0d11fe6e67be0df4523c7f5-ac121;nf-e0e451935cfc99e3e5c21fd3e8c53a0b-015b9;nf-e2c36a794681c4dc5ba63964fb5d04f5-e8264;nf-e475d9afcb6a40a9e6847ff17dd52739-4d5a8;nf-e8f62b14e8f2d0bcfb57251b93334fb0-3e11c;nf-f22142eb5a9adb4e6fc17c14c3b11478-edabf;nf-fb263e2c76ed396ddcc3ad1cfff292a7-2dda0","2062401;2071538;2072171;2072670;2081492;2082644;2082967;2090864;2091085;2092336;2093285;2113251;616251;616378;616958;617033;617169;618313;618719;618890;628053;628197;628684;628691;637519;637860;645909;646007;646318;647222;655129;655133"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0108_Y0101,12491.4288332995,9977.9574055124,22469.3862388119,35563.7661735545,4218.6362857442,110240.8526690000,85177.1781250001,3216.2278864938,17891.5055657944,825.7910750082,617,.01965312992652390234,.00036818208333988219,75.49638572281824387248,25.27787736509990908488,7442.3105625655,71460.8586089514,63067.0362734614,58969.4297756521,53089.0788679491,.17480099003085286772,.15821192805457901426,357,573,.57860615883306320907,.92868719611021069692,"nf-e25d59552af009f6abff665a483b0a8e-b7cc6","2097627;2179836;2264818;2264906;2379381;2379505;2387250;2387307;2405087;2460315;2493678;2557565;2596475;2596501;2648482;2648518;2685201;2685221;2720950;2720959;2764457;2764485"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0108_Y0103,13899.8190929110,2313.1022663990,16212.9213593100,24578.6303480578,3197.9264822055,70539.0574590000,13332.5429660000,2465.0455945646,2445.0487518984,523.3237026440,501,.02698916516477401521,.00110030714563622459,85.90161644951341991101,16.25058244981157933932,60.5869046629,43495.3815163780,7689.5677318966,29595.5624234660,5376.4654654973,.31957000049941124281,.30081044176308762627,441,445,.88023952095808383233,.88822355289421157684,"nf-a44e9c5f352fd6e322a0cec799ea88d9-22029","2247110;2247120;2247401;2247413;2289016;2290323;2347162;2348003;2406001;2406025;2411258;2463739;2463770;2467969;2530325;2530346;2601586;2601610;2604213;2604239;2678428;2678466;2682106;2682126;2738063;2738096;2738250;2738276"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0108_Y0102,54583.9923269734,5842.6655360252,60426.6578629986,79400.2254322771,10330.7661984114,208786.4965080000,34732.3778360000,9496.8479064203,5982.7148952548,1690.5750798790,1675,.09505218414588325428,.00123951830861601350,42.46260580689198098355,14.81852620831169572853,67.3374221825,119889.4231693024,18418.8967423340,65305.4308423287,12576.2312063087,.45528613687541364128,.31721039635324167276,1484,1487,.88597014925373134328,.88776119402985074626,"nf-d5fba6354e9ca1c7102525456a18c234-32611","2236930;2241624;2357989;2358031;2421706;2427695;2491376;2491414;2503174;2503203;2581811;2581830;2595617;2595654;2674023;2674042;2682069;2682085;2742893;2742910;2771920;2771936;2801217;2801244;2834680;2834698;2841207;2841252;2880525;2880533;2883372;2883386;2921833;2921848;2924857;2924862;2952920;2952933;2965953;2965970;2983988;2984015;3004397;3004417;3010579;3010591;3026741;3026750;3039203;3039212;3053359;3053371;3066869;3066876;3074484;3074493;3084593;3084602;3092504;3092518;3109589;3109603;3111319;3111329;3129209;3129229;3134500;3134518;3153419;3153424;3153873;3153886;3171866;3171879;3178571;3178601;3196505;3196517;3197118;3197133;3213452;3213477;3219640;3219645;3237467;3237473;3238971;3238976;3259044;3259065;3262725;3262735;3283883;3283903"
NFCORE_RANGELAND_RANGELAND_HIGHER_LEVEL_FORCE_PYRAMID_X0103_Y0,723.9230838444,51.4121730405,775.3352568849,5990.8384947266,745.7784926269,15280.2396270000,2072.3173780000,434.3068982278,292.8409469336,133.2103243269,133,.01618039796157712150,.00011900536974219163,26.41690529835520599715,25.57389819488234770822,40.5675404402,8855.0942340457,1033.6979384394,8131.1711502012,982.2857653989,.08175216036223425764,.04973616675497898529,22,26,.16541353383458646616,.19548872180451127819,"nf-0ef0cddb5be764f80fd51aba5b9f866c-08b18;nf-148a40b842f2271afebc50d33f9dd6fe-bc272;nf-1b06e4866d5ea75065bea81d00bc15ac-9fc4d;nf-5ce73488b25b2fba87af6504c7d5d78e-42b49;nf-5db6f4ad82c104b3b5a43576e233a198-58afc;nf-5df55e77e91f5ee8091afe744dc26034-06e8d;nf-60e4c3a9b56d3c9cd12d4ec2984a8e7a-e0335;nf-661e3d49936f1142e9a1dfbcd619f712-0c3ca;nf-97dbd25041e06530fe5102855b1c0f4c-7f67a;nf-a9a8c40e6272bc18d38cc8cbd9d16fc0-3cecb;nf-aba67c4793075aec9862a187c1627675-3c519;nf-c09dfb7be28a7f8a66c2d0af6ffff9a5-c570b;nf-e38f02b4a19405bf7d84069113cfb73b-24f9c;nf-e57801a2ce24cfd9cedf30a720b305b1-bdb4f;nf-e67076cc164bf893130136c9531a3637-7dcce;nf-efeefddec2fb926256031d32e4769060-53b42;nf-f1fa6c16027d2ca438a1632caff01c0e-5fbda;nf-fbe84c84f3c84f48c96e5f97e7b94370-84692","150485;150565;164137;3289070;3289330;3289498;3289500;3289501;3289527;3289530;3504610;3723240;3724185;3737143;3834741;3835880;3836105;3836251;3836252;3836253;3836254;3836255;3836256;3836319;3836321;3836326;3836367;3836665;3836670;3842840;3842974;3869087;3904869;3905008;3905098;3905099;3905100;3905101;3905102;3905103;3905238;3905241;3905325;3905341;3905557;3905569;3928938;3929161;3951614"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_BOA_X0103_Y0103,197.4868393564,767.2512289825,964.7380683389,14980.5829470258,1777.0230096978,47454.3179060000,8952.7147970000,357.9466787672,1594.2709110549,347.8493148251,42,.00002163892202514369,.00015443273081337039,82.01931370743615800258,24.52656231414541020080,288.1017321960,32115.7882802071,5581.4208762473,31918.3014408507,4814.1696472648,.00614921351558762044,.13746521647340196961,3,21,.07142857142857142857,.50000000000000000000,"nf-65bceb6ea97b644fd5d5189c306ed036-4b985","2096905;2098146;2098147;2098152"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_BOA_X0103_Y0102,68.1492008173,941.2202322640,1009.3694330813,21821.0794887695,2839.1414403186,62784.7220210000,12442.3304590000,136.0608480615,2291.7782255138,464.6104340250,32,.00000227516457355996,.00005426855071154791,93.70291923221816197781,17.11627215772987396158,209.9909512167,40827.5816841692,7311.4107931676,40759.4324833518,6370.1905609036,.00166919513735795657,.12873305287996616336,1,17,.03125000000000000000,.53125000000000000000,"nf-ddb2864ba83d9522e4b3e54aacc5a690-e0bbc","1902476;1903806;1903808;1903812;1903930"
