test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,55.00,14.92,46.30
CPUStress,32,10,73.23,15.04,45.60
CPUStress,32,20,85.17,15.04,44.90
CPUStress,32,30,96.68,15.14,45.80
CPUStress,32,40,105.87,15.12,47.10
CPUStress,32,50,113.44,15.06,48.60
CPUStress,32,60,123.18,15.20,50.00
CPUStress,32,70,129.10,15.27,51.70
CPUStress,32,80,135.05,15.36,53.50
CPUStress,32,90,140.94,15.41,54.60
CPUStress,32,100,140.74,15.09,55.20
ipsec,32,100,152.54,14.80,57.20
VMStress,32,100,127.72,38.30,52.80
maximize,32,100,137.53,21.31,56.20
