test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,55.25,14.75,44.20
CPUStress,32,10,71.17,14.84,43.70
CPUStress,32,20,85.67,14.96,44.20
CPUStress,32,30,96.26,14.95,44.80
CPUStress,32,40,104.83,14.95,46.00
CPUStress,32,50,114.86,15.17,47.30
CPUStress,32,60,124.06,15.39,48.80
CPUStress,32,70,128.18,15.13,50.50
CPUStress,32,80,134.29,15.24,52.10
CPUStress,32,90,139.98,15.33,53.90
CPUStress,32,100,140.68,15.05,54.80
ipsec,32,100,152.50,14.92,55.70
VMStress,32,100,128.05,37.66,52.70
maximize,32,100,139.17,22.36,55.90
