test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,57.73,15.07,47.10
CPUStress,32,10,73.61,15.10,45.70
CPUStress,32,20,85.78,15.16,45.20
CPUStress,32,30,97.35,15.21,46.00
CPUStress,32,40,106.38,15.21,47.20
CPUStress,32,50,114.49,15.28,48.40
CPUStress,32,60,121.91,15.21,49.90
CPUStress,32,70,130.66,15.59,51.20
CPUStress,32,80,133.68,15.22,52.70
CPUStress,32,90,138.10,15.21,54.40
CPUStress,32,100,141.22,15.28,55.10
ipsec,32,100,152.05,14.91,56.20
VMStress,32,100,127.35,38.60,52.50
maximize,32,100,139.16,22.77,56.30
