test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.41,14.91,43.70
CPUStress,32,10,65.40,14.86,42.90
CPUStress,32,20,75.60,15.00,43.70
CPUStress,32,30,85.33,15.15,44.10
CPUStress,32,40,92.43,15.08,45.40
CPUStress,32,50,99.81,15.21,45.90
CPUStress,32,60,106.45,15.25,47.60
CPUStress,32,70,112.94,15.39,49.20
CPUStress,32,80,115.43,15.18,49.60
CPUStress,32,90,118.98,15.16,51.00
CPUStress,32,100,121.26,15.11,51.90
ipsec,32,100,131.16,14.98,53.80
VMStress,32,100,110.22,37.12,50.70
maximize,32,100,120.88,22.32,53.40
