test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.92,14.82,45.80
CPUStress,32,10,65.84,15.08,44.10
CPUStress,32,20,75.37,14.88,44.70
CPUStress,32,30,85.02,15.14,45.30
CPUStress,32,40,94.02,15.29,46.00
CPUStress,32,50,101.52,15.34,47.00
CPUStress,32,60,106.07,15.04,47.50
CPUStress,32,70,110.81,15.07,49.70
CPUStress,32,80,117.93,15.41,50.00
CPUStress,32,90,120.64,15.30,51.30
CPUStress,32,100,121.34,15.12,52.60
ipsec,32,100,131.07,14.75,53.80
VMStress,32,100,112.45,38.07,50.70
maximize,32,100,119.92,21.20,53.20
