test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,56.36,15.08,38.30
CPUStress,32,10,72.70,15.15,39.40
CPUStress,32,20,85.14,15.10,40.90
CPUStress,32,30,95.42,15.11,42.60
CPUStress,32,40,106.97,15.25,45.20
CPUStress,32,50,114.37,15.28,46.40
CPUStress,32,60,122.75,15.34,48.50
CPUStress,32,70,128.03,15.26,50.10
CPUStress,32,80,135.21,15.41,51.90
CPUStress,32,90,138.48,15.20,53.10
CPUStress,32,100,140.52,15.21,54.40
ipsec,32,100,151.73,14.96,56.30
VMStress,32,100,127.53,38.80,52.80
maximize,32,100,139.19,23.11,55.50
