test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.33,14.99,33.50
CPUStress,32,10,70.45,15.18,35.00
CPUStress,32,20,84.10,15.20,37.90
CPUStress,32,30,95.05,15.07,40.00
CPUStress,32,40,105.32,15.22,42.50
CPUStress,32,50,114.64,15.28,44.40
CPUStress,32,60,121.40,15.25,46.10
CPUStress,32,70,127.28,15.23,48.00
CPUStress,32,80,133.58,15.25,49.80
CPUStress,32,90,138.44,15.19,51.10
CPUStress,32,100,140.35,15.14,52.80
ipsec,32,100,151.85,14.85,54.20
VMStress,32,100,127.02,37.46,50.80
maximize,32,100,139.33,22.84,53.50
