test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.74,14.98,45.30
CPUStress,32,10,64.88,14.99,44.70
CPUStress,32,20,76.02,15.11,44.00
CPUStress,32,30,86.00,15.24,44.80
CPUStress,32,40,93.12,15.12,45.70
CPUStress,32,50,100.17,15.25,46.30
CPUStress,32,60,105.81,15.10,47.40
CPUStress,32,70,113.01,15.43,48.80
CPUStress,32,80,115.11,15.21,50.10
CPUStress,32,90,120.56,15.41,51.10
CPUStress,32,100,120.82,15.12,52.30
ipsec,32,100,130.27,14.91,53.70
VMStress,32,100,112.62,37.71,50.70
maximize,32,100,120.28,21.57,53.60
