task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model
2,hu-worker-c40,92/a4eeae,nf-92a4eeaef9024f4c3d3952880f6aa67d-9a66e,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1763525232088,1763525233000,1763525234000,1912,0,-,42.2,0.0,3014656,11575296,3014656,11579392,690134,9277,247,18,5885952,20480,2,0,/input/data/work/92/a4eeaef9024f4c3d3952880f6aa67d,true,-,Intel Xeon Silver 4314
1,hu-worker-c45,ac/1c9262,nf-ac1c92622fc5692b3fd6677bd8ae63e2-4d7b9,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1763525232039,1763525238000,1763525251000,18961,12000,-,91.3,0.0,4853760,12410880,4853760,12414976,3147402812,5945,48261,20,8519680,16384,37,914,/input/data/work/ac/1c92622fc5692b3fd6677bd8ae63e2,true,-,Intel Xeon Silver 4314
3,hu-worker-c44,b4/4b52b7,nf-b44b52b7ad2898e8203c7ffec9466b45-bf3cd,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1763525231976,1763525240000,1763525262000,30024,20000,-,99.8,1.0,2765344768,2786422784,2765344768,2786426880,916295993,25693118,112010,3154,2813952,25702400,64,487,/input/data/work/b4/4b52b7ad2898e8203c7ffec9466b45,true,-,Intel Xeon Silver 4314
214,hu-worker-c44,27/dc9d7e,nf-27dc9d7e8c6228b94cba39ed4bf65c8d-1317b,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1763525258391,1763525259000,1763525260000,1609,0,-,54.7,0.0,3010560,11575296,3010560,11579392,101810,26539,195,23,233472,20480,2,2,/input/data/work/27/dc9d7e8c6228b94cba39ed4bf65c8d,true,-,Intel Xeon Silver 4314
35,hu-worker-c42,7a/7aada8,nf-7a7aada8fb42ad6e31f9b9a315e8a09c-9de54,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525240625,1763525242000,1763525310000,69375,67000,-,103.0,0.4,1099378688,4979167232,1099378688,5044183040,762635792,1749776,1455782,5489,39272448,2215936,122,8,/input/data/work/7a/7aada8fb42ad6e31f9b9a315e8a09c,true,-,Intel Xeon Silver 4314
7,hu-worker-c44,d4/76c562,nf-d476c5620f80a04ceabb00176ccd8645-017f8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525240943,1763525241000,1763525311000,70057,69000,-,103.6,0.4,1040945152,4696698880,1040945152,4763811840,770942767,1748396,1472007,5480,19689472,2195456,11,0,/input/data/work/d4/76c5620f80a04ceabb00176ccd8645,true,-,Intel Xeon Silver 4314
25,hu-worker-c45,b2/06e686,nf-b206e6866c6de3981a5c91f4b4a59e43-80b26,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241115,1763525241000,1763525314000,72885,72000,-,103.9,0.4,1077325824,5045231616,1078132736,5045235712,827166931,1751215,1581816,5511,0,2220032,11,9,/input/data/work/b2/06e6866c6de3981a5c91f4b4a59e43,true,-,Intel Xeon Silver 4314
42,hu-worker-c40,e4/c2d3be,nf-e4c2d3be87c92c6f26638aa0fddd29bb-d6d9b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241142,1763525244000,1763525308000,66858,63000,-,104.7,0.4,1038901248,4696698880,1038929920,4763811840,730886048,1745722,1393771,5479,19972096,2187264,11,3,/input/data/work/e4/c2d3be87c92c6f26638aa0fddd29bb,true,-,Intel Xeon Silver 4314
11,hu-worker-c45,69/aa05a4,nf-69aa05a4edc642069c2f0efd27c129fb-52821,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241246,1763525241000,1763525313000,71754,71000,-,104.1,0.4,1040400384,4833021952,1040453632,4900134912,807658370,1747924,1543715,5509,6176768,2187264,15,8,/input/data/work/69/aa05a4edc642069c2f0efd27c129fb,true,-,Intel Xeon Silver 4314
45,hu-worker-c40,62/012f60,nf-62012f60bf5310eb8c5771b91c6224a3-13aba,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241280,1763525244000,1763525309000,67720,64000,-,104.7,0.4,1037484032,4764860416,1037484032,4766232576,741637415,1748839,1414767,5511,0,2211840,11,8,/input/data/work/62/012f60bf5310eb8c5771b91c6224a3,true,-,Intel Xeon Silver 4314
50,hu-worker-c42,93/990498,nf-9399049883ee8da679e3f73e31b51fae-dc6b2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241312,1763525242000,1763525312000,70688,69000,-,103.1,0.4,1038299136,4764860416,1038299136,4831973376,780320418,1754319,1490321,5520,5554176,2256896,11,1,/input/data/work/93/99049883ee8da679e3f73e31b51fae,true,-,Intel Xeon Silver 4314
30,hu-worker-c45,a7/5012f4,nf-a75012f414ab540080f99af25aafb40a-5cc75,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525240986,1763525241000,1763525320000,79014,78000,-,103.7,0.4,1039433728,4696698880,1039433728,4763811840,873361665,1762713,1672041,5510,1441792,2244608,11,2,/input/data/work/a7/5012f414ab540080f99af25aafb40a,true,-,Intel Xeon Silver 4314
17,hu-worker-c40,84/387fa4,nf-84387fa4427b24c92af62a1ea911fc35-03636,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241026,1763525244000,1763525317000,75974,72000,-,103.8,0.4,1039482880,4764860416,1039482880,4766224384,821980222,1746350,1571688,5505,27287552,2244608,139,4,/input/data/work/84/387fa4427b24c92af62a1ea911fc35,true,-,Intel Xeon Silver 4314
39,hu-worker-c44,54/ba8e83,nf-54ba8e834c6b7d5f2920b5b2a8a1b055-83a7b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241084,1763525241000,1763525316000,74916,74000,-,103.4,0.4,1039482880,4764860416,1039482880,4766224384,832654263,1754259,1592537,5471,0,2273280,11,9,/input/data/work/54/ba8e834c6b7d5f2920b5b2a8a1b055,true,-,Intel Xeon Silver 4314
19,hu-worker-c42,fd/173aef,nf-fd173aef2ed67aec277d82fdb2053fe2-92bde,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241179,1763525243000,1763525321000,79821,77000,-,102.6,0.4,1041698816,4764860416,1041698816,4766232576,886090211,1754307,1696905,5481,0,2293760,11,8,/input/data/work/fd/173aef2ed67aec277d82fdb2053fe2,true,-,Intel Xeon Silver 4314
40,hu-worker-c44,2b/3272cf,nf-2b3272cfcd6b8b3a004713a6ab3ebd9e-57c91,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241216,1763525241000,1763525320000,78784,78000,-,102.2,0.4,1039605760,4696698880,1039605760,4763811840,864935394,1767382,1655584,5517,4194304,2342912,10,9,/input/data/work/2b/3272cfcd6b8b3a004713a6ab3ebd9e,true,-,Intel Xeon Silver 4314
28,hu-worker-c45,bb/7483b9,nf-bb7483b9bdff7c86037ad72124c4470f-ce942,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525240779,1763525241000,1763525325000,84221,83000,-,103.8,0.4,1040052224,4764860416,1040052224,4766248960,955648932,1768098,1832704,5540,14372864,2293760,87,2,/input/data/work/bb/7483b9bdff7c86037ad72124c4470f,true,-,Intel Xeon Silver 4314
44,hu-worker-c44,d9/b2589f,nf-d9b2589ff687c96a023d2441c5a02433-9bdde,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525240817,1763525241000,1763525327000,86183,84000,-,103.1,0.4,1040179200,4696698880,1040179200,4763811840,977782511,1738904,1875934,5471,17297408,2322432,97,0,/input/data/work/d9/b2589ff687c96a023d2441c5a02433,true,-,Intel Xeon Silver 4314
32,hu-worker-c42,14/ecdd8e,nf-14ecdd8e17a2ebb92e6474cb48c5968a-de535,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525241051,1763525242000,1763525323000,81949,80000,-,102.8,0.4,1039269888,4764860416,1039269888,4766167040,907585633,1760388,1738831,5528,0,2326528,11,8,/input/data/work/14/ecdd8e17a2ebb92e6474cb48c5968a,true,-,Intel Xeon Silver 4314
20,hu-worker-c40,7a/abf6ea,nf-7aabf6ea0cb7b933c6359aae28bcb4d2-01a7b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525240740,1763525244000,1763525332000,91260,87000,-,102.6,0.4,1040277504,4764860416,1040277504,4766232576,1006922395,1751404,1932849,5516,12034048,2330624,69,2,/input/data/work/7a/abf6ea0cb7b933c6359aae28bcb4d2,true,-,Intel Xeon Silver 4314
15,hu-worker-c42,c1/18ab36,nf-c118ab36574be09cfc097eef69418fdd-1e937,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525240906,1763525242000,1763525334000,93094,91000,-,102.2,0.4,1040748544,4696698880,1040748544,4763811840,1042604860,1756186,2002537,5501,5984256,2379776,16,8,/input/data/work/c1/18ab36574be09cfc097eef69418fdd,true,-,Intel Xeon Silver 4314
148,hu-worker-c45,41/612ec5,nf-41612ec5cd750852099117f5e267916d-d41c2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K4me1_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525245156,1763525253000,1763525352000,106844,97000,-,102.3,0.4,1080274944,4908908544,1080274944,4939964416,1100960786,1740084,2116516,5474,4194304,2306048,5,2,/input/data/work/41/612ec5cd750852099117f5e267916d,true,-,Intel Xeon Silver 4314
9,hu-worker-c40,51/4fa101,nf-514fa101cc9704c9cccd8ebc8661b28a-85f4e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525240851,1763525244000,1763525352000,111149,107000,-,102.6,0.4,1038925824,4696698880,1038925824,4763811840,1241571677,1747020,2391144,5483,4198400,2404352,15,13,/input/data/work/51/4fa101cc9704c9cccd8ebc8661b28a,true,-,Intel Xeon Silver 4314
149,hu-worker-c44,3a/8c5f61,nf-3a8c5f615b087bd2ea8338f948eed2b8-6192a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K4me1_LAPC4_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525245190,1763525266000,1763525363000,117810,95000,-,101.0,0.4,1039261696,4696698880,1039261696,4698087424,1064897225,1751166,2046078,5516,0,2281472,6,2,/input/data/work/3a/8c5f615b087bd2ea8338f948eed2b8,true,-,Intel Xeon Silver 4314
156,hu-worker-c42,d7/9972d7,nf-d79972d712b0fab004641186b4181226-ed155,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,Med1_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (Med1_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525245386,1763525321000,1763525399000,153614,77000,-,103.6,0.4,1074298880,4977070080,1075105792,5044183040,904954631,1743317,1733745,5480,4194304,2269184,4,3,/input/data/work/d7/9972d712b0fab004641186b4181226,true,-,Intel Xeon Silver 4314
158,hu-worker-c45,30/20e45b,nf-3020e45b87a6fac98ae1c263e2978b3c-26e16,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,Med1_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (Med1_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1763525245441,1763525322000,1763525408000,162559,85000,-,103.2,0.4,1036005376,4696698880,1036382208,4763811840,1006792459,1740155,1932596,5476,0,2207744,8,2,/input/data/work/30/20e45b87a6fac98ae1c263e2978b3c,true,-,Intel Xeon Silver 4314
