,task_id,hash,native_id,process,tag,name,hostname,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,env,CPU_energy_consumption,DRAM_energy_consumption,energy_consumption,avg_power,cpu_model
0,2,bc/da77af,nf-bcda77affee0ddd5d37692ffb5d1a074-80a1e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),hu-worker-c37,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501422052,1760501422000,1760501427000,5000,3300,-,995.5,0.0,27.5,33.3,29045555.2,35022438.4,230.5,4.9,89522,2775,71.6,6.5,651,40,PYTHONNOUSERSITE=1,405.055543,56.487446999999996,461.54299,92.30859799999999,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
1,1,6e/6637cb,nf-6e6637cb24abfcb22032c4471da6b8e1-3bfb9,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),hu-worker-c38,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501422126,1760501422000,1760501425000,3000,1600,-,975.0,0.0,130.6,4600.0,138726604.8,5261334937.6,227.6,4.1,86828,2488,0.004,5.7,621,104,PYTHONNOUSERSITE=1,219.16258599999998,29.819042,248.98162799999997,82.99387599999999,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
2,20,9f/09f7f7,nf-9f09f7f786a34087bec6a17e185db7af-8d7af,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19981014_20200908_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19981014_20200908_02_T1),hu-worker-c37,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501431372,1760501432000,1760501432000,0,289.0,-,42.1,0.0,2.8,3.9,2936012.8,4089446.4,0.4565,0.0252,891,34,3.6,0.044,4,3,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
3,8,65/aadb84,nf-65aadb84438cbe9ff0356975e08705a1-ae0c0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980421_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980421_20200909_02_T1),hu-worker-c38,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501431427,1760501432000,1760501432000,0,155.0,-,67.4,0.0,14.8,160.4,15518924.8,168296448.0,0.4576,0.0252,891,34,0.0,0.044,3,0,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
4,15,18/d1b4b7,nf-18d1b4b76d43d233429c6542811bd807-edd2e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980827_20200908_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980827_20200908_02_T1),hu-worker-c38,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501431493,1760501432000,1760501432000,0,135.0,-,78.9,0.0,14.8,160.4,15518924.8,168296448.0,0.4576,0.0252,891,34,0.0,0.044,3,0,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
5,32,fe/a3fd4f,nf-fea3fd4f5f432562cd016f9cd890fb35-272ae,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970402_20200910_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970402_20200910_02_T1),hu-worker-c37,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501431548,1760501432000,1760501432000,0,176.0,-,58.2,0.0,2.9,3.9,3040870.4,4089446.4,0.4565,0.0252,891,34,4.0,0.044,3,4,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
6,31,3e/68ce2e,nf-3e68ce2eecfec3dfb7d68ff932efa4f4-78eeb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970605_20211128_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970605_20211128_02_T1),hu-worker-c37,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501431599,1760501432000,1760501433000,1000,189.0,-,55.2,0.0,2.8,3.9,2936012.8,4089446.4,0.4565,0.0252,891,34,0.0,0.044,6,3,PYTHONNOUSERSITE=1,69.54852799999999,11.908938,81.45746599999998,81.45746599999998,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
7,12,e6/909650,nf-e6909650b022efacca5026adfc218beb-353ee,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970723_20200910_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970723_20200910_02_T1),hu-worker-c38,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501431651,1760501432000,1760501432000,0,150.0,-,80.2,0.0,14.8,160.4,15518924.8,168296448.0,0.4576,0.0252,891,34,0.0,0.044,3,1,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
8,34,1c/1ee6d6,nf-1c1ee6d63ee830bd204591b8d087b6b5-dd19c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970707_20200910_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970707_20200910_02_T1),hu-worker-c37,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501431698,1760501432000,1760501432000,0,175.0,-,62.6,0.0,2.9,3.9,3040870.4,4089446.4,0.4565,0.0252,891,34,0.0,0.044,3,0,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
9,3,9b/f98327,nf-9bf98327a2a5ed378f3c21b291f0cae8-dfefe,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980710_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980710_20200909_02_T1),hu-worker-c38,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,4000,-,6442450944.0,1,1760501431740,1760501432000,1760501432000,0,138.0,-,85.3,0.0,14.8,160.4,15518924.8,168296448.0,0.4576,0.0252,891,34,0.0,0.044,3,1,PYTHONNOUSERSITE=1,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz
