task,total_pkg_j,total_dram_j,total_energy_j,pods,pids
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0111_Y0102,3706.435,639.3714,4345.8064,";nf-2b7e62d78bbb3b5ffdfa5f0da6532170-0d38d","1957709:101.099;2130500:0;2130593:0;2503830:890.573;2503864:858.488;2507103:928.875;2507116:927.4;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0111_Y0101,9245.9642,1432.87408,10678.83828,";nf-2957c7ee9d0f5ce428bd5e0540d89e90-ba3b1","2093869:0;2183698:0;2189007:0;2233861:0;2233903:0;2307827:48.6213;2378787:0;2378912:32.7669;2380029:171.119;2380102:171.083;2397174:863.435;2397191:822.351;2405642:722.492;2405669:758.644;2478856:950.017;2478898:939.879;2493590:1100.67;2579241:1083.4;2588864:791.083;2588880:790.403;2666643:0;2666751:0;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0104_Y0103,8878.4185,1530.01546,10408.43396,";nf-564cf850fb18be0ca5d467fe487b4fcc-88d25","1957452:63.0616;2081004:36.341;2081029:37.1448;2231367:0;2418200:978.912;2418222:987.538;2449321:1086.76;2449383:1124.09;2501042:920.092;2543700:979.688;2543728:1034.26;2609213:753.077;2609256:844.587;2704208:32.8671;2704395:0;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0104_Y0102,8611.0269,1499.70385,10110.73075,";nf-a6e588e6994b9e8bfb4042df240431ef-8bcf3","1957430:50.1495;1957444:47.7104;2137040:64.8508;2137331:39.6642;2262841:906.788;2326180:963.457;2335757:1076.69;2504394:998.759;2504433:987.582;2516595:875.521;2516644:844.489;2614111:879.473;2619059:875.893;2716110:0;2716166:0;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_PREPROCESS_CONFIG_LT0,0,0,0,";nf-11ed8de35f11297960957c16f01d1950-d77fe;nf-2114b5dd50e0fbb0c4b60c01bcfc050e-2a930;nf-28771b69149db04620ccf8f9be206e85-a27a1;nf-2ccca464e4687e7afb058cbff737e800-7a223;nf-2f4003e5e5879638afb7a3f55ec3fc53-918fd;nf-419a9a6383afe6ef4d6c90fa9f6ed60c-703a0;nf-563c76623a0b3948b2e82598a02079db-e32b6;nf-5baca7ab2617867d8f739816335d10c4-81f1a;nf-5cf1666030c05970a8007401fe8fc966-99a13;nf-622279b0f7ce1f5e4b5baf0ba60324e0-e1b14;nf-6ff684024afdcae8b35c3831b8f277c9-3d75a;nf-78ca2463cf101c462fd8efd104fa5ef4-1a70f;nf-7d2753727e1f2106a1358b123504c08f-f558a;nf-83fe312778826bc300f5555296ea064d-3fba7;nf-848b2432de964d553c7dbab2a7f7e4a4-14f80;nf-8871adae491b9f13baf82142fdddf460-7b4db;nf-8edcd174ae80758974ec89dcc21439e8-3e814;nf-a48ee8aafcdcb5914fdc86bbd98b2198-d96d6;nf-a8d8f368a538bf70443562bb7348450c-2c2df;nf-badc0a2682e37dcc33a9b9060660e773-030ee;nf-c05d5d0bd0e211e72053478ce23200ef-4feef;nf-c08b7554f933a77de5cc68fdb2172ad8-32676;nf-ce56edcea162089bfb83cc98e8a7c494-72434;nf-cee1d04f351e0de78ddb144a4c0b4f26-46701;nf-d1957e02ce8a0b0aa2f71e7c685ce7b6-705fb;nf-e04f001ef0d11fe6e67be0df4523c7f5-ac121;nf-e0e451935cfc99e3e5c21fd3e8c53a0b-015b9;nf-e2c36a794681c4dc5ba63964fb5d04f5-e8264;nf-e475d9afcb6a40a9e6847ff17dd52739-4d5a8;nf-e8f62b14e8f2d0bcfb57251b93334fb0-3e11c;nf-f22142eb5a9adb4e6fc17c14c3b11478-edabf;nf-fb263e2c76ed396ddcc3ad1cfff292a7-2dda0","616251:0;616378:0;616958:0;617033:0;617169:0;618313:0;618719:0;618890:0;628053:0;628197:0;628684:0;628691:0;637519:0;637860:0;645909:0;646007:0;646318:0;647222:0;655129:0;655133:0;2062401:0;2071538:0;2072171:0;2072670:0;2081492:0;2082644:0;2082967:0;2090864:0;2091085:0;2092336:0;2093285:0;2113251:0;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0108_Y0101,12491.4295,9977.95406,22469.38356,";nf-e25d59552af009f6abff665a483b0a8e-b7cc6","2097627:0;2179836:0;2264818:65.6151;2264906:74.2117;2379381:133.208;2379505:168.851;2387250:532.34;2387307:627.242;2405087:1149.66;2460315:940.588;2493678:1261.22;2557565:1108.94;2596475:850.088;2596501:802.107;2648482:858.803;2648518:859.787;2685201:755.4;2685221:758.484;2720950:698.033;2720959:697.969;2764457:74.5503;2764485:74.3324;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0108_Y0103,13899.819,2313.1011,16212.9201,";nf-a44e9c5f352fd6e322a0cec799ea88d9-22029","2247110:211.225;2247120:242.539;2247401:0;2247413:186.302;2289016:493.542;2290323:434.394;2347162:599.492;2348003:649.098;2406001:517.202;2406025:514.13;2411258:596.579;2463739:677.348;2463770:680.788;2467969:485.47;2530325:697.878;2530346:665.717;2601586:741.963;2601610:700.768;2604213:498.541;2604239:497.195;2678428:430.973;2678466:436.242;2682106:430.247;2682126:438.97;2738063:483.87;2738096:482.132;2738250:554.67;2738276:552.544;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0108_Y0102,54583.9952,5842.66362,60426.65882,";nf-d5fba6354e9ca1c7102525456a18c234-32611","2236930:103.166;2241624:0;2357989:561.522;2358031:630.923;2421706:803.728;2427695:577.553;2491376:1005.29;2491414:1021.86;2503174:618.927;2503203:632.77;2581811:973.853;2581830:926.998;2595617:667.929;2595654:704.256;2674023:729.387;2674042:687.006;2682069:843.72;2682085:834.289;2742893:675.682;2742910:676.679;2771920:806.989;2771936:810.646;2801217:538.437;2801244:539.045;2834680:777.749;2834698:777.902;2841207:625.406;2841252:625.198;2880525:839.11;2880533:837.254;2883372:709.605;2883386:708.658;2921833:460.59;2921848:459.706;2924857:754.917;2924862:752.204;2952920:501.124;2952933:501.327;2965953:744.837;2965970:742.071;2983988:445.578;2984015:446.117;3004397:518.125;3004417:518.167;3010579:700.698;3010591:700.969;3026741:720.393;3026750:720.905;3039203:720.079;3039212:720.295;3053359:567.364;3053371:532.089;3066869:531.271;3066876:341.252;3074484:373.835;3074493:374.652;3084593:712.733;3084602:712.004;3092504:377.313;3092518:378.268;3109589:762.786;3109603:762.856;3111319:346.145;3111329:346.071;3129209:557.992;3129229:556.961;3134500:375.399;3134518:376.086;3153419:603.476;3153424:604.732;3153873:380.461;3153886:381.328;3171866:574.069;3171879:573.095;3178571:421.286;3178601:421.72;3196505:561.259;3196517:559.956;3197118:340.189;3197133:340.319;3213452:596.469;3213477:596.896;3219640:339.121;3219645:337.985;3237467:524.531;3237473:524.392;3238971:633.874;3238976:634.339;3259044:486.391;3259065:486.109;3262725:616.572;3262735:617.464;3283883:21.6041;3283903:21.6421;"
NFCORE_RANGELAND_RANGELAND_HIGHER_LEVEL_FORCE_PYRAMID_X0103_Y0,723.92296,51.41214,775.33510,";nf-0ef0cddb5be764f80fd51aba5b9f866c-08b18;nf-148a40b842f2271afebc50d33f9dd6fe-bc272;nf-1b06e4866d5ea75065bea81d00bc15ac-9fc4d;nf-5ce73488b25b2fba87af6504c7d5d78e-42b49;nf-5db6f4ad82c104b3b5a43576e233a198-58afc;nf-5df55e77e91f5ee8091afe744dc26034-06e8d;nf-60e4c3a9b56d3c9cd12d4ec2984a8e7a-e0335;nf-661e3d49936f1142e9a1dfbcd619f712-0c3ca;nf-97dbd25041e06530fe5102855b1c0f4c-7f67a;nf-a9a8c40e6272bc18d38cc8cbd9d16fc0-3cecb;nf-aba67c4793075aec9862a187c1627675-3c519;nf-c09dfb7be28a7f8a66c2d0af6ffff9a5-c570b;nf-e38f02b4a19405bf7d84069113cfb73b-24f9c;nf-e57801a2ce24cfd9cedf30a720b305b1-bdb4f;nf-e67076cc164bf893130136c9531a3637-7dcce;nf-efeefddec2fb926256031d32e4769060-53b42;nf-f1fa6c16027d2ca438a1632caff01c0e-5fbda;nf-fbe84c84f3c84f48c96e5f97e7b94370-84692","3504610:0;3842840:0;3842974:0;3869087:0;3904869:0;3905008:9.36348;3905098:38.2535;3905099:37.9855;3905100:0;3905101:37.8423;3905102:0;3905103:37.6198;3905238:37.9045;3905241:9.36402;3905325:37.6199;3905341:37.7783;3905557:38.1086;3905569:37.4342;3928938:0;3929161:0;3951614:0;150485:0;150565:0;164137:0;3289070:0;3289330:0;3289498:0;3289500:0;3289501:0;3289527:0;3289530:0;3723240:0;3724185:0;3737143:0;3834741:0;3835880:0;3836105:35.7607;3836251:35.4256;3836252:35.8684;3836253:0;3836254:35.16;3836255:0;3836256:35.752;3836319:35.3793;3836321:9.02996;3836326:35.8309;3836367:35.7343;3836665:35.6317;3836670:35.076;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_BOA_X0103_Y0103,197.4866,767.251,964.7376,";nf-65bceb6ea97b644fd5d5189c306ed036-4b985","2096905:0;2098146:29.6186;2098147:167.868;2098152:0;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_BOA_X0103_Y0102,68.1492,941.221,1009.3702,";nf-ddb2864ba83d9522e4b3e54aacc5a690-e0bbc","1902476:0;1903806:0;1903808:68.1492;1903812:0;1903930:0;"
