task,total_pkg_j,total_dram_j,total_energy_j,pods,pids
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0110_Y0102,7520.6441,1139.26124,8659.90534,";nf-0fd2ff3e0d0fddfddbf6df4d78b947a8-ad21c","2185084:32.9293;2191093:31.8198;2191157:0;2265298:0;2298083:0;2335050:106.97;2384123:398.073;2384358:423.834;2385242:228.15;2385429:326.312;2435444:781.153;2441051:932.353;2522025:779.375;2529109:954.945;2529124:913.492;2606151:804.302;2606168:806.936;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0110_Y0101,7848.121,9487.05464,17335.17564,";nf-cccae0e563593421739469eddcac77f7-93a05","2102018:0;2192040:0;2192103:0;2264113:0;2264280:0;2304258:0;2315686:346.096;2315740:184;2348163:0;2348296:0;2380769:203.647;2381054:204.721;2408647:781.296;2473096:1052.54;2497113:940.04;2566880:957.427;2599428:875.337;2599460:862.826;2660446:662.519;2660488:698.815;2724641:39.541;2724710:39.316;"
NFCORE_RANGELAND_RANGELAND_HIGHER_LEVEL_FORCE_PYRAMID_X0107_Y0,383.6632,33.71936,417.38256,";nf-04f057bb18984f05faa7cefb534114d6-2e0dc;nf-0769634a2a6df94894eec1fd38005f0c-d2857;nf-158b3bf9029783ee6a3ff2cbd6f06acb-bc414;nf-1885dd0df46d0f7c6230179f04986233-5ef66;nf-19fa2db02b3e6c909d49e307f3450922-a1982;nf-1d24c59dba4eb07ca2a7de3e02f02244-6321f;nf-1d3b1d659aa02267e6dcd005cfa1df5f-0d80b;nf-31f22d402235c296e767e94749a0eb8e-c39ad;nf-325924b4a2e91a59ccd5be1844a0f8f3-66197;nf-385d336d354cff58a1bedc207a5d3f15-ad395;nf-548dcfef3d1ccbbafc4ce66a0097b44b-c6433;nf-5b55275eac7d2274191ada3bf2bb43de-b20bc;nf-619815af87ed0c2dd0a7f1ca58e79c6a-60b89;nf-655c1d1ef63ea91f506062309a4d7e28-d9763;nf-6781f2be31a42cb5c2ef3961203c3e4f-68968;nf-7079ab8a93c540a68bce4bbeadbe9d8e-fc785;nf-714abe77b1483e7a82b380a5b6f0c80c-c6a71;nf-935d226462c9a3314ef7e25274e774b3-8949a;nf-a41cff07d152ed540437c77152905e77-2a1ee;nf-b06b67136cb75270caaaeae238b61600-0dab6;nf-b5d5bda576180af6dca93ed7c4c8b7d3-9329b;nf-bcacf3098986c08571ea59bcea18cbc9-f4954;nf-ce285150613e865b3fb299160b764730-3d140;nf-e0f282a82a7e10072f5f914c3e51fbe1-b4590;nf-f25b5e9e80c822af7d76c941fb5a422e-a8ca8;nf-f4dae47c811e1bb1729d62e5835d8378-af6df","3475534:0;3542373:0;3568125:0;4033627:0;4033702:39.3009;4034024:37.8707;4034025:38.5252;4034026:0;4034027:39.001;4034028:0;4034029:37.087;4034234:38.6846;4034238:0;4034289:38.5759;4034338:38.4429;4034562:39.2007;4034566:36.9743;4035050:0;4040314:0;4091181:0;4142663:0;38960:0;58051:0;62587:0;63176:0;74874:0;134372:0;134956:0;3334684:0;3334796:0;3335123:0;3369659:0;3369730:0;3390819:0;3953280:0;3953437:0;3953640:0;3953641:0;3953642:0;3953643:0;3953644:0;3953645:0;3953677:0;3953679:0;3953683:0;3953714:0;3954364:0;3954375:0;3967977:0;4128655:0;4128751:0;4128848:0;4128849:0;4128850:0;4128851:0;4128852:0;4128853:0;4128909:0;4128912:0;4128945:0;4129000:0;4129422:0;4129469:0;4149844:0;4151697:0;58737:0;"
NFCORE_RANGELAND_RANGELAND_HIGHER_LEVEL_FORCE_PYRAMID_X0106_Y0,433.0377,45.33000,478.36770,";nf-05b62bef747ca8b6ed1a7d7bae9fa13c-7fbd0;nf-0b8875c899ea3eb0b9f8f1756ec49f48-7117d;nf-17697548f2e79818a36807b9e0991a4e-4324a;nf-1b31149806d9a997d28374815bf50fd7-40f45;nf-203c1b63864963db0e62993cce01adee-70952;nf-25cb0378c2193f863fd766334d5f26d2-1ed36;nf-3920144d7539d7de26fdcaad21f501ad-9babe;nf-3d6c50dc8a730a783447e0f77c6bd8c7-3327d;nf-4011080da70df8d49161aa3319921d90-a97a0;nf-41bc1ab0bd9dbe21cb589a51a106d1a0-15a03;nf-437e5c72fcf581cc7bd1e5098dc7368b-0de15;nf-44e0bc290b637b5bd8587517279d6986-dec25;nf-466e06f548ad27f14b1b74314e0eed3d-9e1b6;nf-58ae3d6d8eb4fd2877100862216a7771-7b13c;nf-67437e9302e8e5e301a87bec7c5ac0ab-8ba44;nf-71c8d6b49950f2dedb898deeb1e1b0ed-bee0a;nf-74aec977452797f6d0d9a9c7891e210f-f9f8d;nf-7b999430c83198353abff0c4f542cb3b-0aa2a;nf-8bc1fb13c688af658bb481293aaaf6df-a8462;nf-ab972aa4c162335bee5060481938bccf-5e9fb;nf-b0dfc942c0993191f79a5bb8df2bb6df-10dad;nf-b9c7a45f94757b27199197fde0409c11-1b211;nf-bda49570b3791178831d2826de7f570d-3a75a;nf-d7abf9515ea7a2102a0b6d1819e79fb4-3df2e;nf-f2b3a47de28de381dd03e912fe81f9f5-c23e7","3762595:0;3777759:0;3778166:0;3778590:38.3527;3778591:38.7287;3778592:0;3778593:0;3778594:0;3778595:0;3778676:0;3778678:0;3778816:0;3778827:0;3779099:0;3779112:0;3795395:0;3799122:0;3799414:36.4093;3799773:37.3943;3799774:38.1905;3799775:0;3799776:39.3115;3799777:0;3799778:32.3574;3799858:0;3799933:38.9257;3799936:0;3800005:32.3396;3800100:32.6549;3800606:35.5484;3800631:32.8247;3805692:0;3926176:0;3926796:0;3938903:0;3938989:0;3938991:0;3938992:0;3939021:0;3972605:0;4137686:0;4141947:0;4156221:0;4157129:0;4158320:0;4158462:0;132381:0;3665203:0;3673333:0;3749501:0;4037536:0;4038038:0;4077908:0;4078794:0;4079590:0;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_BOA_X0110_Y0102,419.284,321.58,740.864,";nf-539371a2f68a353d4c84f586a4af9f9e-0db42","2050089:419.284;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_BOA_X0110_Y0101,213.42018,428.81904,642.23922,";nf-49f532a5d5eb912d901ad6bd0e5a8e56-b35a7","2100407:51.4594;2100408:6.12708;2100409:0;2100410:86.709;2100547:0;2100553:69.1247;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0109_Y0101,8757.9258,1277.75245,10035.67825,";nf-750c96ed47e3d53ba5938e1c79fa5fee-0ca38","2185318:37.8506;2264998:0;2265069:0;2299858:0;2299923:0;2341166:0;2379086:67.399;2379251:33.5219;2389540:737.406;2389582:701.175;2468564:1064.65;2483286:980.065;2483294:932.867;2566837:957.206;2580510:885.075;2580560:958.946;2659577:659.842;2659601:661.095;2724937:40.1377;2725126:40.6896;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0109_Y0102,7210.0988,1044.32955,8254.42835,";nf-3fb9a65f123bdb9e9f79c2ad99447637-569b5","2180375:0;2305827:174.869;2305909:41.1518;2412915:893.736;2412986:919.31;2467995:1112.24;2566637:814.127;2599148:767.531;2599159:769.492;2646492:856.13;2646524:861.512;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0106_Y0103,13444.0026,2094.18534,15538.18794,";nf-7ddc1813d90bc419e0acfb834204163a-bcadb","1984007:64.1001;1984022:57.7023;2082230:38.011;2082308:38.7908;2242290:49.2569;2246419:71.0725;2400061:1067.69;2400116:1051.32;2484637:943.401;2570453:867.342;2570493:876.274;2589262:960.328;2589320:985.594;2676621:778.353;2676656:780.093;2698329:784.407;2698356:827.8;2766001:810.011;2766028:812.725;2784186:783.751;2784194:795.98;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0106_Y0102,53085.5733,5546.3832,58631.9565,";nf-5995d981a715f6faa89c40f9dab5f64c-7d9e1","2231440:0;2231459:62.5073;2293410:622.958;2364119:626.334;2440428:535.788;2440437:573.028;2504413:1007.51;2518238:608.78;2518270:570.045;2596205:1052.83;2596242:1064.77;2614879:637.523;2614908:720.335;2694466:768.785;2694519:793.365;2705877:868.824;2705891:858.13;2781280:588.219;2781293:583.83;2788510:824.826;2788531:830.947;2833754:528.655;2833777:529.108;2846799:748.453;2846826:747.461;2868922:585.262;2868936:584.699;2889249:589.237;2889293:588.719;2901561:451.318;2901593:452.334;2920202:624.161;2920230:665.207;2933110:458.319;2933123:458.995;2952419:585.062;2952436:585.528;2963514:540.363;2963536:540.616;2987596:686.214;2987612:685.621;2995455:718.157;2995467:716.669;3018686:501.246;3018699:500.719;3026545:535.947;3026564:536.292;3039949:533.629;3039960:532.692;3046881:754.959;3046904:754.503;3060338:793.324;3060343:792.015;3075469:673.082;3075474:673.572;3087916:488.394;3087942:488.085;3102035:758.779;3102048:759.083;3108221:530.876;3108234:529.531;3129250:591.553;3129267:592.102;3130002:409.57;3130007:409.065;3148814:708.24;3148819:708.741;3153958:456.591;3153980:455.383;3173780:534.788;3173796:534.531;3174665:761.296;3174685:761.034;3195650:414.021;3195656:412.359;3199863:744.948;3199880:745.699;3215653:522.541;3215684:523.159;3225859:595.629;3225864:594.286;3236565:412.658;3236582:412.619;3249725:632.75;3249730:633.734;3255907:555.871;3255912:556.185;"
NFCORE_RANGELAND_RANGELAND_PREPROCESSING_MERGE_QAI_X0106_Y0101,691.460,129.21706,820.67706,";nf-b28c560f6aa52ae77ee3fb2a00ce5b11-b40cf","2083255:0;2239390:225.733;2239412:0;2267236:465.727;"
