test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,40.34,7.59,30.00
CPUStress,32,10,44.62,7.28,29.70
CPUStress,32,20,48.57,7.57,29.20
CPUStress,32,30,50.32,7.59,29.40
CPUStress,32,40,52.63,7.72,29.90
CPUStress,32,50,55.77,8.05,30.00
CPUStress,32,60,57.51,8.16,30.10
CPUStress,32,70,57.52,8.06,30.30
CPUStress,32,80,59.35,8.26,30.40
CPUStress,32,90,58.72,8.16,30.00
CPUStress,32,100,58.19,8.00,30.70
ipsec,32,100,58.04,7.09,30.70
VMStress,32,100,88.57,30.89,32.80
maximize,32,100,61.44,15.48,32.30
