test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,76.49,12.94,29.30
CPUStress,32,10,93.60,13.21,36.70
CPUStress,32,20,107.25,13.49,40.50
CPUStress,32,30,116.94,13.64,43.90
CPUStress,32,40,124.19,13.66,46.40
CPUStress,32,50,132.65,13.93,48.30
CPUStress,32,60,138.04,13.96,50.20
CPUStress,32,70,140.90,14.01,52.90
CPUStress,32,80,147.84,14.75,53.60
CPUStress,32,90,139.39,13.92,54.70
CPUStress,32,100,134.81,13.51,55.70
ipsec,32,100,134.89,13.03,57.30
VMStress,32,100,134.56,36.84,52.10
maximize,32,100,134.89,21.11,56.00
