test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,42.34,7.39,28.80
CPUStress,32,10,56.78,9.33,30.20
CPUStress,32,20,88.41,12.01,34.00
CPUStress,32,30,108.49,13.39,39.80
CPUStress,32,40,121.85,13.64,43.60
CPUStress,32,50,130.35,13.85,47.50
CPUStress,32,60,137.53,13.98,49.30
CPUStress,32,70,139.66,13.91,50.90
CPUStress,32,80,141.71,14.16,53.20
CPUStress,32,90,139.71,13.99,54.30
CPUStress,32,100,134.86,13.55,55.00
ipsec,32,100,134.98,13.08,57.00
VMStress,32,100,134.70,36.97,51.70
maximize,32,100,134.93,21.44,55.40
