test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,42.87,8.72,41.80
CPUStress,32,10,57.86,8.82,38.90
CPUStress,32,20,86.76,12.16,41.10
CPUStress,32,30,110.94,13.50,45.00
CPUStress,32,40,122.54,13.79,47.10
CPUStress,32,50,130.29,13.94,49.80
CPUStress,32,60,141.91,14.47,51.20
CPUStress,32,70,139.77,13.93,53.40
CPUStress,32,80,142.10,14.24,54.30
CPUStress,32,90,136.39,13.66,55.10
CPUStress,32,100,134.85,13.48,55.80
ipsec,32,100,134.86,13.04,57.50
VMStress,32,100,134.47,36.80,52.20
maximize,32,100,134.87,20.81,56.60
