test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,39.94,7.34,30.70
CPUStress,32,10,44.65,7.39,30.00
CPUStress,32,20,48.89,7.55,29.90
CPUStress,32,30,51.40,7.72,29.80
CPUStress,32,40,53.86,7.88,30.00
CPUStress,32,50,55.92,8.03,30.00
CPUStress,32,60,56.89,8.10,30.10
CPUStress,32,70,57.72,8.11,30.10
CPUStress,32,80,60.27,8.37,30.50
CPUStress,32,90,58.50,8.13,30.70
CPUStress,32,100,57.79,7.94,30.40
ipsec,32,100,58.78,7.42,30.40
VMStress,32,100,85.15,29.88,32.60
maximize,32,100,60.96,15.50,32.40
