test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,43.03,8.98,39.30
CPUStress,32,10,50.79,7.47,37.40
CPUStress,32,20,57.54,7.57,36.50
CPUStress,32,30,65.11,7.92,36.50
CPUStress,32,40,71.62,8.10,37.00
CPUStress,32,50,77.63,8.26,37.50
CPUStress,32,60,82.79,8.44,38.50
CPUStress,32,70,90.19,8.74,39.70
CPUStress,32,80,93.42,8.76,40.70
CPUStress,32,90,95.46,8.66,41.50
CPUStress,32,100,134.87,13.43,49.00
ipsec,32,100,134.93,13.03,52.50
VMStress,32,100,134.48,36.81,48.70
maximize,32,100,135.02,21.08,53.30
