test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,43.91,9.18,42.50
CPUStress,32,10,54.59,9.14,39.00
CPUStress,32,20,89.75,12.50,42.40
CPUStress,32,30,112.70,13.62,46.50
CPUStress,32,40,123.64,13.84,47.80
CPUStress,32,50,132.23,14.09,49.70
CPUStress,32,60,135.05,13.78,51.30
CPUStress,32,70,141.70,14.16,53.10
CPUStress,32,80,138.73,13.84,53.80
CPUStress,32,90,138.01,13.86,54.70
CPUStress,32,100,134.87,13.51,55.20
ipsec,32,100,134.88,13.04,57.40
VMStress,32,100,134.66,36.95,51.70
maximize,32,100,134.87,21.45,55.50
