test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,76.92,13.10,44.70
CPUStress,32,10,92.43,13.11,45.70
CPUStress,32,20,105.53,13.36,49.10
CPUStress,32,30,115.02,13.46,48.90
CPUStress,32,40,125.22,13.85,50.10
CPUStress,32,50,129.50,13.68,51.60
CPUStress,32,60,138.83,14.06,52.50
CPUStress,32,70,142.73,14.25,53.90
CPUStress,32,80,142.82,14.29,54.70
CPUStress,32,90,136.39,13.66,55.20
CPUStress,32,100,134.91,13.52,56.00
ipsec,32,100,134.85,13.02,57.60
VMStress,32,100,134.52,36.85,52.30
maximize,32,100,134.86,20.72,56.20
