id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries,core_kwh,mem_kwh,average_co2e,marginal_co2e,embodied_co2e,avg_ci,ci_timeseries
1,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,1763561664000,1763561665000,1,37.5,,6442450944.0,,,2.8999467329545465e-07,1.4184027777777782e-07,4.3183495107323244e-07,4.3183495107323244e-07,0.0,1.0,
3,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,1763561662000,1763561673000,2,98.4,,12884901888.0,,,8.28430625e-06,3.3042968750000005e-06,1.1588603125e-05,1.1588603125e-05,0.0,1.0,
2,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,1763561661000,1763561682000,2,100.1,,12884901888.0,,,1.648823628472222e-05,5.831966145833335e-06,2.2320202430555557e-05,2.2320202430555557e-05,0.0,1.0,
214,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,1763561678000,1763561679000,1,56.1,,6442450944.0,,,4.4003142361111106e-07,1.3885633680555558e-07,5.788877604166667e-07,5.788877604166667e-07,0.0,1.0,
64,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561674000,1763561726000,6,104.5,,38654705664.0,,,4.202216145833334e-05,4.4254166666666674e-05,8.627632812500002e-05,8.627632812500002e-05,0.0,1.0,
7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561669000,1763561737000,6,104.3,,38654705664.0,,,5.428271770833332e-05,6.127968750000001e-05,0.00011556240520833333,0.00011556240520833333,0.0,1.0,
16,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561674000,1763561746000,6,104.1,,38654705664.0,,,5.796181534090911e-05,6.127500000000001e-05,0.00011923681534090912,0.00011923681534090912,0.0,1.0,
11,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561674000,1763561746000,6,104.2,,38654705664.0,,,5.8017494318181836e-05,6.127500000000001e-05,0.00011929249431818186,0.00011929249431818186,0.0,1.0,
18,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561669000,1763561745000,6,104.1,,38654705664.0,,,6.055258437499998e-05,6.848906250000001e-05,0.000129041646875,0.000129041646875,0.0,1.0,
5,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561669000,1763561743000,6,103.6,,38654705664.0,,,6.013292167508417e-05,6.165221354166669e-05,0.00012178513521675086,0.00012178513521675086,0.0,1.0,
22,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561674000,1763561746000,6,103.5,,38654705664.0,,,5.7627741477272745e-05,6.127500000000001e-05,0.00011890274147727275,0.00011890274147727275,0.0,1.0,
27,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561669000,1763561748000,6,103.0,,38654705664.0,,,6.382416566708753e-05,6.581790364583334e-05,0.00012964206931292087,0.00012964206931292087,0.0,1.0,
30,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561669000,1763561750000,6,103.8,,38654705664.0,,,6.435032343749999e-05,7.2994921875e-05,0.0001373452453125,0.0001373452453125,0.0,1.0,
33,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561674000,1763561748000,6,102.7,,38654705664.0,,,5.877070714962123e-05,6.297708333333335e-05,0.00012174779048295458,0.00012174779048295458,0.0,1.0,
35,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561675000,1763561745000,6,103.0,,38654705664.0,,,5.518278645833333e-05,6.308203125e-05,0.00011826481770833333,0.00011826481770833333,0.0,1.0,
25,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561669000,1763561755000,6,103.5,,38654705664.0,,,6.981675047348485e-05,7.164986979166669e-05,0.00014146662026515155,0.00014146662026515155,0.0,1.0,
14,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561669000,1763561760000,6,102.9,,38654705664.0,,,7.34475979955808e-05,7.581555989583334e-05,0.00014926315789141415,0.00014926315789141415,0.0,1.0,
12,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561678000,1763561764000,6,103.0,,38654705664.0,,,7.117413252314816e-05,7.615143229166667e-05,0.00014732556481481484,0.00014732556481481484,0.0,1.0,
29,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561678000,1763561761000,6,102.9,,38654705664.0,,,6.862462335069444e-05,7.349498697916666e-05,0.0001421196103298611,0.0001421196103298611,0.0,1.0,
20,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561677000,1763561769000,6,103.1,,38654705664.0,,,7.621369178240741e-05,8.146432291666666e-05,0.00015767801469907406,0.00015767801469907406,0.0,1.0,
9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561669000,1763561779000,6,101.5,,38654705664.0,,,8.545295572916665e-05,9.912890625000001e-05,0.00018458186197916666,0.00018458186197916666,0.0,1.0,
190,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561684000,1763561795000,6,102.7,,38654705664.0,,,8.941579714330808e-05,9.247832031250003e-05,0.0001818941174558081,0.0001818941174558081,0.0,1.0,
40,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561729000,1763561796000,6,103.9,,38654705664.0,,,5.383306451231062e-05,5.7019791666666674e-05,0.00011085285617897729,0.00011085285617897729,0.0,1.0,
60,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,1763561750000,1763561806000,6,104.5,,38654705664.0,,,4.5901317129629624e-05,4.6655729166666676e-05,9.25570462962963e-05,9.25570462962963e-05,0.0,1.0,
