test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.34,10.94,39.10
CPUStress,32,10,56.86,10.96,37.70
CPUStress,32,20,65.82,11.02,37.40
CPUStress,32,30,72.84,11.00,37.90
CPUStress,32,40,79.87,11.15,39.00
CPUStress,32,50,85.30,11.11,40.00
CPUStress,32,60,91.20,11.21,42.10
CPUStress,32,70,95.20,11.24,42.70
CPUStress,32,80,98.14,11.32,44.30
CPUStress,32,90,101.94,11.34,45.20
CPUStress,32,100,100.73,11.05,45.80
ipsec,32,100,108.25,10.92,46.80
VMStress,32,100,95.64,31.91,45.40
maximize,32,100,101.73,16.31,46.70
