test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.90,10.88,41.80
CPUStress,32,10,63.48,10.97,40.40
CPUStress,32,20,73.41,11.10,39.60
CPUStress,32,30,81.46,10.92,41.60
CPUStress,32,40,89.90,11.07,41.90
CPUStress,32,50,97.06,11.25,43.30
CPUStress,32,60,102.43,11.13,45.30
CPUStress,32,70,106.80,11.26,46.70
CPUStress,32,80,112.41,11.36,47.60
CPUStress,32,90,114.07,11.16,48.70
CPUStress,32,100,116.27,11.18,49.50
ipsec,32,100,123.26,10.79,50.70
VMStress,32,100,107.65,32.71,47.90
maximize,32,100,111.18,17.12,50.20
