test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.36,10.40,39.90
CPUStress,32,10,61.17,10.50,38.50
CPUStress,32,20,73.66,10.66,38.10
CPUStress,32,30,82.86,10.75,39.80
CPUStress,32,40,90.94,10.91,40.60
CPUStress,32,50,96.70,10.96,42.10
CPUStress,32,60,103.11,10.99,43.40
CPUStress,32,70,106.19,10.82,44.80
CPUStress,32,80,110.89,11.09,46.40
CPUStress,32,90,113.71,10.99,47.10
CPUStress,32,100,116.30,11.08,48.40
ipsec,32,100,122.98,10.42,49.20
VMStress,32,100,107.10,31.46,47.10
maximize,32,100,114.87,17.10,49.50
