test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.40,10.37,30.00
CPUStress,32,10,61.43,10.48,31.30
CPUStress,32,20,73.06,10.55,32.90
CPUStress,32,30,80.57,10.64,34.90
CPUStress,32,40,88.62,10.63,36.50
CPUStress,32,50,96.63,10.79,39.30
CPUStress,32,60,103.08,10.97,40.80
CPUStress,32,70,107.09,11.06,43.40
CPUStress,32,80,112.16,11.12,45.30
CPUStress,32,90,113.67,10.99,46.90
CPUStress,32,100,116.47,10.99,47.20
ipsec,32,100,125.34,10.44,48.80
VMStress,32,100,108.01,31.61,46.60
maximize,32,100,113.99,16.57,49.00
