test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.00,10.74,33.30
CPUStress,32,10,56.90,10.49,34.60
CPUStress,32,20,65.23,10.48,35.30
CPUStress,32,30,73.35,10.60,36.00
CPUStress,32,40,79.82,10.60,37.40
CPUStress,32,50,84.86,10.62,39.00
CPUStress,32,60,90.48,10.73,40.60
CPUStress,32,70,94.49,10.80,42.40
CPUStress,32,80,97.59,10.84,43.30
CPUStress,32,90,99.65,10.81,44.20
CPUStress,32,100,101.88,10.87,45.70
ipsec,32,100,108.34,10.31,46.70
VMStress,32,100,95.82,31.65,44.50
maximize,32,100,101.30,16.54,46.60
