test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.84,10.49,32.60
CPUStress,32,10,62.71,10.53,33.20
CPUStress,32,20,72.92,10.60,35.20
CPUStress,32,30,81.83,10.77,36.50
CPUStress,32,40,89.65,10.75,38.20
CPUStress,32,50,96.05,10.73,40.10
CPUStress,32,60,102.69,10.93,41.20
CPUStress,32,70,108.12,11.04,43.20
CPUStress,32,80,111.07,11.03,45.30
CPUStress,32,90,114.46,10.94,46.30
CPUStress,32,100,115.77,10.89,47.70
ipsec,32,100,124.73,10.50,49.20
VMStress,32,100,106.96,32.21,47.00
maximize,32,100,115.08,17.49,49.50
