test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,107.93,0.81,54.30
CPUStress,64,10,218.04,0.99,59.70
CPUStress,64,20,247.62,1.02,60.80
CPUStress,64,30,272.96,1.07,62.60
CPUStress,64,40,282.70,1.06,63.00
CPUStress,64,50,295.63,1.09,65.30
CPUStress,64,60,299.10,1.09,66.80
CPUStress,64,70,297.46,1.05,68.30
CPUStress,64,80,305.39,1.07,68.70
CPUStress,64,90,332.39,1.11,71.20
CPUStress,64,100,317.71,1.02,72.40
ipsec,64,100,288.25,0.99,70.70
VMStress,64,100,322.35,3.42,71.20
maximize,64,100,347.34,5.11,75.60
